[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 17/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 18/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 19/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 20/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 21/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 22/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 23/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 24/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 25/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 26/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 27/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 28/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 29/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 30/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 31/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 32/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 33/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 34/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 35/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 36/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 37/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 38/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 39/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 40/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 41/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 42/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 43/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 44/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 45/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 46/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 47/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 48/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 49/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 50/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 51/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 52/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 53/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 54/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 55/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 56/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 57/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 58/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 59/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 60/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 61/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 62/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 63/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 64/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 65/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 66/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 67/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 68/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 69/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 70/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 71/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 72/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 73/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 74/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 75/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 76/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 77/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 78/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 79/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 80/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 81/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 82/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 83/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 84/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 85/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 86/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 87/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 88/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 89/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 90/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 91/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 92/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 93/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 94/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 95/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 96/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 97/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 98/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 99/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 100/139
[2025-05-19 14:40:48] [INFO] [Stage: Processing file: Manulife Obligasi Negara Indonesia II Kelas A_extracted | Task: Creating chunks for document: Manulife Obligasi Negara Indonesia II Kelas A.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 101/139
