[2025-05-19 15:25:13] [INFO] [Stage: Processing file: Schroder Dana Mantap Plus II_extracted | Task: Creating chunks for document: Schroder Dana Mantap Plus II.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 21/105
[2025-05-19 15:25:13] [INFO] [Stage: Processing file: Schroder Dana Mantap Plus II_extracted | Task: Creating chunks for document: Schroder Dana Mantap Plus II.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 22/105
[2025-05-19 15:25:13] [INFO] [Stage: Processing file: Schroder Dana Mantap Plus II_extracted | Task: Creating chunks for document: Schroder Dana Mantap Plus II.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 23/105
[2025-05-19 15:25:13] [INFO] [Stage: Processing file: Schroder Dana Mantap Plus II_extracted | Task: Creating chunks for document: Schroder Dana Mantap Plus II.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 24/105
[2025-05-19 15:25:13] [INFO] [Stage: Processing file: Schroder Dana Mantap Plus II_extracted | Task: Creating chunks for document: Schroder Dana Mantap Plus II.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 25/105
[2025-05-19 15:25:13] [INFO] [Stage: Processing file: Schroder Dana Mantap Plus II_extracted | Task: Creating chunks for document: Schroder Dana Mantap Plus II.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 26/105
[2025-05-19 15:25:13] [INFO] [Stage: Processing file: Schroder Dana Mantap Plus II_extracted | Task: Creating chunks for document: Schroder Dana Mantap Plus II.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 27/105
[2025-05-19 15:25:13] [INFO] [Stage: Processing file: Schroder Dana Mantap Plus II_extracted | Task: Creating chunks for document: Schroder Dana Mantap Plus II.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 28/105
[2025-05-19 15:25:13] [INFO] [Stage: Processing file: Schroder Dana Mantap Plus II_extracted | Task: Creating chunks for document: Schroder Dana Mantap Plus II.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 29/105
[2025-05-19 15:25:13] [INFO] [Stage: Processing file: Schroder Dana Mantap Plus II_extracted | Task: Creating chunks for document: Schroder Dana Mantap Plus II.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 30/105
[2025-05-19 15:25:13] [INFO] [Stage: Processing file: Schroder Dana Mantap Plus II_extracted | Task: Creating chunks for document: Schroder Dana Mantap Plus II.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 31/105
[2025-05-19 15:25:13] [INFO] [Stage: Processing file: Schroder Dana Mantap Plus II_extracted | Task: Creating chunks for document: Schroder Dana Mantap Plus II.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 32/105
[2025-05-19 15:25:13] [INFO] [Stage: Processing file: Schroder Dana Mantap Plus II_extracted | Task: Creating chunks for document: Schroder Dana Mantap Plus II.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 33/105
[2025-05-19 15:25:13] [INFO] [Stage: Processing file: Schroder Dana Mantap Plus II_extracted | Task: Creating chunks for document: Schroder Dana Mantap Plus II.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 34/105
[2025-05-19 15:25:13] [INFO] [Stage: Processing file: Schroder Dana Mantap Plus II_extracted | Task: Creating chunks for document: Schroder Dana Mantap Plus II.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 35/105
[2025-05-19 15:25:13] [INFO] [Stage: Processing file: Schroder Dana Mantap Plus II_extracted | Task: Creating chunks for document: Schroder Dana Mantap Plus II.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 36/105
[2025-05-19 15:25:13] [INFO] [Stage: Processing file: Schroder Dana Mantap Plus II_extracted | Task: Creating chunks for document: Schroder Dana Mantap Plus II.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 37/105
