[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 17/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 18/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 19/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 20/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 21/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 22/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 23/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 24/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 25/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 26/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 27/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 28/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 29/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 30/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 31/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 32/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 33/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 34/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 35/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 36/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 37/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 38/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 39/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 40/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 41/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 42/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 43/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 44/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 45/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 46/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 47/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 48/125
[2025-05-18 10:47:35] [INFO] [Stage: Processing file: Bahana Pendapatan Tetap Makara Prima kelas G_extracted | Task: Creating chunks for document: Bahana Pendapatan Tetap Makara Prima kelas G.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 49/125
