[2025-05-19 16:21:18] [INFO] [Stage: Processing file: Schroder Dynamic Balanced Fund_extracted | Task: Creating chunks for document: Schroder Dynamic Balanced Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 20/113
[2025-05-19 16:21:18] [INFO] [Stage: Processing file: Schroder Dynamic Balanced Fund_extracted | Task: Creating chunks for document: Schroder Dynamic Balanced Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 21/113
[2025-05-19 16:21:18] [INFO] [Stage: Processing file: Schroder Dynamic Balanced Fund_extracted | Task: Creating chunks for document: Schroder Dynamic Balanced Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 22/113
[2025-05-19 16:21:18] [INFO] [Stage: Processing file: Schroder Dynamic Balanced Fund_extracted | Task: Creating chunks for document: Schroder Dynamic Balanced Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 23/113
[2025-05-19 16:21:18] [INFO] [Stage: Processing file: Schroder Dynamic Balanced Fund_extracted | Task: Creating chunks for document: Schroder Dynamic Balanced Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 24/113
[2025-05-19 16:21:18] [INFO] [Stage: Processing file: Schroder Dynamic Balanced Fund_extracted | Task: Creating chunks for document: Schroder Dynamic Balanced Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 25/113
[2025-05-19 16:21:18] [INFO] [Stage: Processing file: Schroder Dynamic Balanced Fund_extracted | Task: Creating chunks for document: Schroder Dynamic Balanced Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 26/113
[2025-05-19 16:21:18] [INFO] [Stage: Processing file: Schroder Dynamic Balanced Fund_extracted | Task: Creating chunks for document: Schroder Dynamic Balanced Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 27/113
[2025-05-19 16:21:18] [INFO] [Stage: Processing file: Schroder Dynamic Balanced Fund_extracted | Task: Creating chunks for document: Schroder Dynamic Balanced Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 28/113
[2025-05-19 16:21:18] [INFO] [Stage: Processing file: Schroder Dynamic Balanced Fund_extracted | Task: Creating chunks for document: Schroder Dynamic Balanced Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 29/113
[2025-05-19 16:21:18] [INFO] [Stage: Processing file: Schroder Dynamic Balanced Fund_extracted | Task: Creating chunks for document: Schroder Dynamic Balanced Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 30/113
[2025-05-19 16:21:18] [INFO] [Stage: Processing file: Schroder Dynamic Balanced Fund_extracted | Task: Creating chunks for document: Schroder Dynamic Balanced Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 31/113
[2025-05-19 16:21:18] [INFO] [Stage: Processing file: Schroder Dynamic Balanced Fund_extracted | Task: Creating chunks for document: Schroder Dynamic Balanced Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 32/113
[2025-05-19 16:21:18] [INFO] [Stage: Processing file: Schroder Dynamic Balanced Fund_extracted | Task: Creating chunks for document: Schroder Dynamic Balanced Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 33/113
[2025-05-19 16:21:18] [INFO] [Stage: Processing file: Schroder Dynamic Balanced Fund_extracted | Task: Creating chunks for document: Schroder Dynamic Balanced Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 34/113
[2025-05-19 16:21:18] [INFO] [Stage: Processing file: Schroder Dynamic Balanced Fund_extracted | Task: Creating chunks for document: Schroder Dynamic Balanced Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 35/113
[2025-05-19 16:21:18] [INFO] [Stage: Processing file: Schroder Dynamic Balanced Fund_extracted | Task: Creating chunks for document: Schroder Dynamic Balanced Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 36/113
[2025-05-19 16:21:18] [INFO] [Stage: Processing file: Schroder Dynamic Balanced Fund_extracted | Task: Creating chunks for document: Schroder Dynamic Balanced Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 37/113
[2025-05-19 16:21:18] [INFO] [Stage: Processing file: Schroder Dynamic Balanced Fund_extracted | Task: Creating chunks for document: Schroder Dynamic Balanced Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 38/113
[2025-05-19 16:21:18] [INFO] [Stage: Processing file: Schroder Dynamic Balanced Fund_extracted | Task: Creating chunks for document: Schroder Dynamic Balanced Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 39/113
[2025-05-19 16:21:18] [INFO] [Stage: Processing file: Schroder Dynamic Balanced Fund_extracted | Task: Creating chunks for document: Schroder Dynamic Balanced Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 40/113
