[2025-05-20 20:12:15] [INFO] [Stage: Processing file: Sucorinvest Money Market Fund_extracted | Task: Creating chunks for document: Sucorinvest Money Market Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 21/118
[2025-05-20 20:12:15] [INFO] [Stage: Processing file: Sucorinvest Money Market Fund_extracted | Task: Creating chunks for document: Sucorinvest Money Market Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 22/118
[2025-05-20 20:12:15] [INFO] [Stage: Processing file: Sucorinvest Money Market Fund_extracted | Task: Creating chunks for document: Sucorinvest Money Market Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 23/118
[2025-05-20 20:12:15] [INFO] [Stage: Processing file: Sucorinvest Money Market Fund_extracted | Task: Creating chunks for document: Sucorinvest Money Market Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 24/118
[2025-05-20 20:12:15] [INFO] [Stage: Processing file: Sucorinvest Money Market Fund_extracted | Task: Creating chunks for document: Sucorinvest Money Market Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 25/118
[2025-05-20 20:12:15] [INFO] [Stage: Processing file: Sucorinvest Money Market Fund_extracted | Task: Creating chunks for document: Sucorinvest Money Market Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 26/118
[2025-05-20 20:12:15] [INFO] [Stage: Processing file: Sucorinvest Money Market Fund_extracted | Task: Creating chunks for document: Sucorinvest Money Market Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 27/118
[2025-05-20 20:12:15] [INFO] [Stage: Processing file: Sucorinvest Money Market Fund_extracted | Task: Creating chunks for document: Sucorinvest Money Market Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 28/118
[2025-05-20 20:12:15] [INFO] [Stage: Processing file: Sucorinvest Money Market Fund_extracted | Task: Creating chunks for document: Sucorinvest Money Market Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 29/118
[2025-05-20 20:12:15] [INFO] [Stage: Processing file: Sucorinvest Money Market Fund_extracted | Task: Creating chunks for document: Sucorinvest Money Market Fund.pdf | Subtask: Collecting blocks from all pages] Collecting blocks from page 30/118
