[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131833_88e08126 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131833_84433ae8 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131833_adef4f9f already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131833_e922b31d already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131833_87e3f46b already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131833_8d987045 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131833_7090717f already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131833_c0550fbf already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131833_f5cbb5a3 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131833_8197d959 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131833_0a551e43 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131833_1ce623c3 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131833_ee4a159e already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131833_91f76945 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131833_eb617a62 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131833_0327811a already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131833_f00c6b05 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131833_991ef233 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131833_6866b0eb already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131841_5be425dc already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131841_3c7defb9 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131841_12eaf175 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131841_1b2b6e56 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131841_7dd73091 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131841_2aa52285 already in index.json
[2025-05-20 08:49:44] [SKIP] SKIP: ID chunk_BNIAMShortDurationBondsIndexKelasR1pdf_20250518_131841_43c2abdf already in index.json
