period,date,value,offset
1M,22 Jan 25,"Rp1,472.02",-347
1M,22 Jan 25,"Rp1,472.02",-342
1M,22 Jan 25,"Rp1,472.02",-337
1M,22 Jan 25,"Rp1,472.02",-332
1M,20 Des 24,"Rp1,463.74",-327
1M,23 Des 24,"Rp1,464.35",-322
1M,23 Des 24,"Rp1,464.35",-317
1M,23 Des 24,"Rp1,464.35",-312
1M,23 Des 24,"Rp1,464.35",-307
1M,23 Des 24,"Rp1,464.35",-302
1M,23 Des 24,"Rp1,464.35",-297
1M,23 Des 24,"Rp1,464.35",-292
1M,23 Des 24,"Rp1,464.35",-287
1M,23 Des 24,"Rp1,464.35",-282
1M,23 Des 24,"Rp1,464.35",-277
1M,23 Des 24,"Rp1,464.35",-272
1M,24 Des 24,"Rp1,464.59",-267
1M,24 Des 24,"Rp1,464.59",-262
1M,24 Des 24,"Rp1,464.59",-257
1M,24 Des 24,"Rp1,464.59",-252
1M,27 Des 24,"Rp1,465.35",-247
1M,27 Des 24,"Rp1,465.35",-242
1M,27 Des 24,"Rp1,465.35",-237
1M,27 Des 24,"Rp1,465.35",-232
1M,27 Des 24,"Rp1,465.35",-227
1M,27 Des 24,"Rp1,465.35",-222
1M,27 Des 24,"Rp1,465.35",-217
1M,27 Des 24,"Rp1,465.35",-212
1M,27 Des 24,"Rp1,465.35",-207
1M,27 Des 24,"Rp1,465.35",-202
1M,27 Des 24,"Rp1,465.35",-197
1M,27 Des 24,"Rp1,465.35",-192
1M,30 Des 24,"Rp1,466.14",-187
1M,30 Des 24,"Rp1,466.14",-182
1M,30 Des 24,"Rp1,466.14",-177
1M,30 Des 24,"Rp1,466.14",-172
1M,30 Des 24,"Rp1,466.14",-167
1M,30 Des 24,"Rp1,466.14",-162
1M,30 Des 24,"Rp1,466.14",-157
1M,30 Des 24,"Rp1,466.14",-152
1M,30 Des 24,"Rp1,466.14",-147
1M,30 Des 24,"Rp1,466.14",-142
1M,30 Des 24,"Rp1,466.14",-137
1M,30 Des 24,"Rp1,466.14",-132
1M,2 Jan 25,"Rp1,466.78",-127
1M,2 Jan 25,"Rp1,466.78",-122
1M,2 Jan 25,"Rp1,466.78",-117
1M,2 Jan 25,"Rp1,466.78",-112
1M,2 Jan 25,"Rp1,466.78",-107
1M,2 Jan 25,"Rp1,466.78",-102
1M,2 Jan 25,"Rp1,466.78",-97
1M,2 Jan 25,"Rp1,466.78",-92
1M,2 Jan 25,"Rp1,466.78",-87
1M,2 Jan 25,"Rp1,466.78",-82
1M,2 Jan 25,"Rp1,466.78",-77
1M,2 Jan 25,"Rp1,466.78",-72
1M,3 Jan 25,"Rp1,467.08",-67
1M,3 Jan 25,"Rp1,467.08",-62
1M,3 Jan 25,"Rp1,467.08",-57
1M,3 Jan 25,"Rp1,467.08",-52
1M,6 Jan 25,"Rp1,467.76",-47
1M,6 Jan 25,"Rp1,467.76",-42
1M,6 Jan 25,"Rp1,467.76",-37
1M,6 Jan 25,"Rp1,467.76",-32
1M,6 Jan 25,"Rp1,467.76",-27
1M,6 Jan 25,"Rp1,467.76",-22
1M,6 Jan 25,"Rp1,467.76",-17
1M,6 Jan 25,"Rp1,467.76",-12
1M,6 Jan 25,"Rp1,467.76",-7
1M,6 Jan 25,"Rp1,467.76",-2
1M,6 Jan 25,"Rp1,467.76",3
1M,6 Jan 25,"Rp1,467.76",8
1M,7 Jan 25,"Rp1,468.03",13
1M,7 Jan 25,"Rp1,468.03",18
1M,7 Jan 25,"Rp1,468.03",23
1M,7 Jan 25,"Rp1,468.03",28
1M,8 Jan 25,"Rp1,468.34",33
1M,8 Jan 25,"Rp1,468.34",38
1M,8 Jan 25,"Rp1,468.34",43
1M,8 Jan 25,"Rp1,468.34",48
1M,10 Jan 25,"Rp1,468.66",53
1M,10 Jan 25,"Rp1,468.66",58
1M,10 Jan 25,"Rp1,468.66",63
1M,10 Jan 25,"Rp1,468.66",68
1M,10 Jan 25,"Rp1,468.66",73
1M,10 Jan 25,"Rp1,468.66",78
1M,10 Jan 25,"Rp1,468.66",83
1M,10 Jan 25,"Rp1,468.66",88
1M,13 Jan 25,"Rp1,469.33",93
1M,13 Jan 25,"Rp1,469.33",98
1M,13 Jan 25,"Rp1,469.33",103
1M,13 Jan 25,"Rp1,469.33",108
1M,13 Jan 25,"Rp1,469.33",113
1M,13 Jan 25,"Rp1,469.33",118
1M,13 Jan 25,"Rp1,469.33",123
1M,13 Jan 25,"Rp1,469.33",128
1M,13 Jan 25,"Rp1,469.33",133
1M,13 Jan 25,"Rp1,469.33",138
1M,13 Jan 25,"Rp1,469.33",143
1M,13 Jan 25,"Rp1,469.33",148
1M,14 Jan 25,"Rp1,469.57",153
1M,14 Jan 25,"Rp1,469.57",158
1M,14 Jan 25,"Rp1,469.57",163
1M,14 Jan 25,"Rp1,469.57",168
1M,15 Jan 25,"Rp1,469.80",173
1M,15 Jan 25,"Rp1,469.80",178
1M,15 Jan 25,"Rp1,469.80",183
1M,15 Jan 25,"Rp1,469.80",188
1M,16 Jan 25,"Rp1,470.11",193
1M,16 Jan 25,"Rp1,470.11",198
1M,16 Jan 25,"Rp1,470.11",203
1M,16 Jan 25,"Rp1,470.11",208
1M,17 Jan 25,"Rp1,470.49",213
1M,17 Jan 25,"Rp1,470.49",218
1M,17 Jan 25,"Rp1,470.49",223
1M,20 Jan 25,"Rp1,471.31",228
1M,20 Jan 25,"Rp1,471.31",233
1M,20 Jan 25,"Rp1,471.31",238
1M,20 Jan 25,"Rp1,471.31",243
1M,20 Jan 25,"Rp1,471.31",248
1M,20 Jan 25,"Rp1,471.31",253
1M,20 Jan 25,"Rp1,471.31",258
1M,20 Jan 25,"Rp1,471.31",263
1M,20 Jan 25,"Rp1,471.31",268
1M,20 Jan 25,"Rp1,471.31",273
1M,20 Jan 25,"Rp1,471.31",278
1M,20 Jan 25,"Rp1,471.31",283
1M,21 Jan 25,"Rp1,471.65",288
1M,21 Jan 25,"Rp1,471.65",293
1M,21 Jan 25,"Rp1,471.65",298
1M,21 Jan 25,"Rp1,471.65",303
1M,22 Jan 25,"Rp1,472.02",308
1M,22 Jan 25,"Rp1,472.02",313
1M,22 Jan 25,"Rp1,472.02",318
1M,22 Jan 25,"Rp1,472.02",323
1M,22 Jan 25,"Rp1,472.02",328
1M,22 Jan 25,"Rp1,472.02",333
1M,22 Jan 25,"Rp1,472.02",338
1M,22 Jan 25,"Rp1,472.02",343
