period,date,value,offset
5Y,22 Jan 25,"Rp1,472.02",-347
5Y,22 Jan 25,"Rp1,472.02",-342
5Y,22 Jan 25,"Rp1,472.02",-337
5Y,22 Jan 25,"Rp1,472.02",-332
5Y,22 Jan 20,"Rp1,184.68",-327
5Y,5 Feb 20,"Rp1,187.25",-322
5Y,19 Feb 20,"Rp1,189.90",-317
5Y,4 Mar 20,"Rp1,192.51",-312
5Y,18 Mar 20,"Rp1,195.10",-307
5Y,1 Apr 20,"Rp1,197.70",-302
5Y,15 Apr 20,"Rp1,200.22",-297
5Y,29 Apr 20,"Rp1,202.80",-292
5Y,13 Mei 20,"Rp1,205.46",-287
5Y,27 Mei 20,"Rp1,208.11",-282
5Y,10 Jun 20,"Rp1,210.67",-277
5Y,24 Jun 20,"Rp1,213.18",-272
5Y,8 Jul 20,"Rp1,215.67",-267
5Y,22 Jul 20,"Rp1,218.21",-262
5Y,5 Agt 20,"Rp1,221.39",-257
5Y,19 Agt 20,"Rp1,224.10",-252
5Y,2 Sep 20,"Rp1,226.59",-247
5Y,16 Sep 20,"Rp1,229.30",-242
5Y,30 Sep 20,"Rp1,231.77",-237
5Y,14 Okt 20,"Rp1,234.24",-232
5Y,2 Nov 20,"Rp1,237.32",-227
5Y,11 Nov 20,"Rp1,238.79",-222
5Y,25 Nov 20,"Rp1,241.27",-217
5Y,10 Des 20,"Rp1,243.52",-212
5Y,23 Des 20,"Rp1,245.69",-207
5Y,6 Jan 21,"Rp1,247.19",-202
5Y,20 Jan 21,"Rp1,249.23",-197
5Y,3 Feb 21,"Rp1,251.34",-192
5Y,17 Feb 21,"Rp1,253.57",-187
5Y,3 Mar 21,"Rp1,255.57",-182
5Y,17 Mar 21,"Rp1,257.59",-177
5Y,31 Mar 21,"Rp1,259.38",-172
5Y,13 Apr 21,"Rp1,261.02",-167
5Y,27 Apr 21,"Rp1,262.62",-162
5Y,11 Mei 21,"Rp1,264.08",-157
5Y,25 Mei 21,"Rp1,265.75",-152
5Y,8 Jun 21,"Rp1,267.26",-147
5Y,22 Jun 21,"Rp1,268.85",-142
5Y,6 Jul 21,"Rp1,270.35",-137
5Y,21 Jul 21,"Rp1,271.95",-132
5Y,3 Agt 21,"Rp1,273.24",-127
5Y,18 Agt 21,"Rp1,274.73",-122
5Y,31 Agt 21,"Rp1,275.97",-117
5Y,14 Sep 21,"Rp1,277.37",-112
5Y,28 Sep 21,"Rp1,278.90",-107
5Y,12 Okt 21,"Rp1,280.02",-102
5Y,26 Okt 21,"Rp1,281.43",-97
5Y,9 Nov 21,"Rp1,282.85",-92
5Y,23 Nov 21,"Rp1,284.30",-87
5Y,7 Des 21,"Rp1,285.71",-82
5Y,21 Des 21,"Rp1,287.21",-77
5Y,4 Jan 22,"Rp1,288.76",-72
5Y,18 Jan 22,"Rp1,290.26",-67
5Y,2 Feb 22,"Rp1,291.86",-62
5Y,15 Feb 22,"Rp1,293.27",-57
5Y,1 Mar 22,"Rp1,294.81",-52
5Y,15 Mar 22,"Rp1,295.72",-47
5Y,29 Mar 22,"Rp1,296.25",-42
5Y,12 Apr 22,"Rp1,297.35",-37
5Y,26 Apr 22,"Rp1,298.89",-32
5Y,10 Mei 22,"Rp1,300.03",-27
5Y,24 Mei 22,"Rp1,301.23",-22
5Y,7 Jun 22,"Rp1,302.80",-17
5Y,20 Jun 22,"Rp1,304.80",-12
5Y,4 Jul 22,"Rp1,306.34",-7
5Y,18 Jul 22,"Rp1,307.53",-2
5Y,1 Agt 22,"Rp1,310.20",3
5Y,15 Agt 22,"Rp1,312.57",8
5Y,29 Agt 22,"Rp1,312.55",13
5Y,12 Sep 22,"Rp1,314.62",18
5Y,26 Sep 22,"Rp1,316.17",23
5Y,10 Okt 22,"Rp1,317.84",28
5Y,24 Okt 22,"Rp1,318.98",33
5Y,7 Nov 22,"Rp1,320.59",38
5Y,21 Nov 22,"Rp1,322.69",43
5Y,5 Des 22,"Rp1,325.14",48
5Y,19 Des 22,"Rp1,327.30",53
5Y,2 Jan 23,"Rp1,329.37",58
5Y,16 Jan 23,"Rp1,331.59",63
5Y,30 Jan 23,"Rp1,333.76",68
5Y,13 Feb 23,"Rp1,335.43",73
5Y,27 Feb 23,"Rp1,337.62",78
5Y,13 Mar 23,"Rp1,340.18",83
5Y,27 Mar 23,"Rp1,342.52",88
5Y,10 Apr 23,"Rp1,344.56",93
5Y,27 Apr 23,"Rp1,349.73",98
5Y,8 Mei 23,"Rp1,351.09",103
