period,date,value,offset
5Y,24 Jan 25,"Rp1,472.58",-509
5Y,24 Jan 25,"Rp1,472.58",-504
5Y,24 Jan 25,"Rp1,472.58",-499
5Y,24 Jan 25,"Rp1,472.58",-494
5Y,24 Jan 25,"Rp1,472.58",-489
5Y,24 Jan 25,"Rp1,472.58",-484
5Y,24 Jan 25,"Rp1,472.58",-479
5Y,24 Jan 25,"Rp1,472.58",-474
5Y,24 Jan 25,"Rp1,472.58",-469
5Y,24 Jan 25,"Rp1,472.58",-464
5Y,24 Jan 25,"Rp1,472.58",-459
5Y,24 Jan 25,"Rp1,472.58",-454
5Y,24 Jan 25,"Rp1,472.58",-449
5Y,24 Jan 25,"Rp1,472.58",-444
5Y,24 Jan 25,"Rp1,472.58",-439
5Y,24 Jan 25,"Rp1,472.58",-434
5Y,24 Jan 25,"Rp1,472.58",-429
5Y,24 Jan 25,"Rp1,472.58",-424
5Y,24 Jan 25,"Rp1,472.58",-419
5Y,24 Jan 25,"Rp1,472.58",-414
5Y,24 Jan 25,"Rp1,472.58",-409
5Y,24 Jan 25,"Rp1,472.58",-404
5Y,24 Jan 25,"Rp1,472.58",-399
5Y,24 Jan 25,"Rp1,472.58",-394
5Y,24 Jan 25,"Rp1,472.58",-389
5Y,24 Jan 25,"Rp1,472.58",-384
5Y,24 Jan 25,"Rp1,472.58",-379
5Y,24 Jan 25,"Rp1,472.58",-374
5Y,24 Jan 25,"Rp1,472.58",-369
5Y,24 Jan 25,"Rp1,472.58",-364
5Y,24 Jan 25,"Rp1,472.58",-359
5Y,24 Jan 25,"Rp1,472.58",-354
5Y,24 Jan 25,"Rp1,472.58",-349
5Y,24 Jan 25,"Rp1,472.58",-344
5Y,24 Jan 25,"Rp1,472.58",-339
5Y,24 Jan 25,"Rp1,472.58",-334
5Y,24 Jan 25,"Rp1,472.58",-329
5Y,24 Jan 25,"Rp1,472.58",-324
5Y,24 Jan 25,"Rp1,472.58",-319
5Y,24 Jan 25,"Rp1,472.58",-314
5Y,24 Jan 25,"Rp1,472.58",-309
5Y,24 Jan 25,"Rp1,472.58",-304
5Y,24 Jan 25,"Rp1,472.58",-299
5Y,24 Jan 25,"Rp1,472.58",-294
5Y,24 Jan 25,"Rp1,472.58",-289
5Y,24 Jan 25,"Rp1,472.58",-284
5Y,24 Jan 25,"Rp1,472.58",-279
5Y,24 Jan 25,"Rp1,472.58",-274
5Y,24 Jan 25,"Rp1,472.58",-269
5Y,24 Jan 25,"Rp1,472.58",-264
5Y,24 Jan 25,"Rp1,472.58",-259
5Y,24 Jan 25,"Rp1,472.58",-254
5Y,24 Jan 25,"Rp1,472.58",-249
5Y,24 Jan 25,"Rp1,472.58",-244
5Y,24 Jan 25,"Rp1,472.58",-239
5Y,24 Jan 25,"Rp1,472.58",-234
5Y,24 Jan 25,"Rp1,472.58",-229
5Y,24 Jan 25,"Rp1,472.58",-224
5Y,24 Jan 25,"Rp1,472.58",-219
5Y,24 Jan 25,"Rp1,472.58",-214
5Y,24 Jan 25,"Rp1,472.58",-209
5Y,24 Jan 25,"Rp1,472.58",-204
5Y,24 Jan 25,"Rp1,472.58",-199
5Y,24 Jan 25,"Rp1,472.58",-194
5Y,24 Jan 25,"Rp1,472.58",-189
5Y,24 Jan 25,"Rp1,472.58",-184
5Y,24 Jan 25,"Rp1,472.58",-179
5Y,24 Jan 25,"Rp1,472.58",-174
5Y,24 Jan 25,"Rp1,472.58",-169
5Y,24 Jan 25,"Rp1,472.58",-164
5Y,24 Jan 25,"Rp1,472.58",-159
5Y,24 Jan 25,"Rp1,472.58",-154
5Y,24 Jan 25,"Rp1,472.58",-149
5Y,24 Jan 25,"Rp1,472.58",-144
5Y,24 Jan 25,"Rp1,472.58",-139
5Y,24 Jan 25,"Rp1,472.58",-134
5Y,24 Jan 25,"Rp1,472.58",-129
5Y,24 Jan 25,"Rp1,472.58",-124
5Y,24 Jan 25,"Rp1,472.58",-119
5Y,24 Jan 25,"Rp1,472.58",-114
5Y,24 Jan 25,"Rp1,472.58",-109
5Y,24 Jan 25,"Rp1,472.58",-104
5Y,24 Jan 25,"Rp1,472.58",-99
5Y,24 Jan 25,"Rp1,472.58",-94
5Y,24 Jan 25,"Rp1,472.58",-89
5Y,24 Jan 25,"Rp1,472.58",-84
5Y,24 Jan 25,"Rp1,472.58",-79
5Y,24 Jan 25,"Rp1,472.58",-74
5Y,24 Jan 25,"Rp1,472.58",-69
5Y,24 Jan 25,"Rp1,472.58",-64
5Y,24 Jan 25,"Rp1,472.58",-59
5Y,24 Jan 25,"Rp1,472.58",-54
5Y,24 Jan 25,"Rp1,472.58",-49
5Y,24 Jan 25,"Rp1,472.58",-44
5Y,24 Jan 25,"Rp1,472.58",-39
5Y,24 Jan 25,"Rp1,472.58",-34
5Y,24 Jan 25,"Rp1,472.58",-29
5Y,24 Jan 25,"Rp1,472.58",-24
5Y,24 Jan 25,"Rp1,472.58",-19
5Y,24 Jan 25,"Rp1,472.58",-14
5Y,24 Jan 25,"Rp1,472.58",-9
5Y,24 Jan 25,"Rp1,472.58",-4
5Y,24 Jan 25,"Rp1,472.58",1
5Y,24 Jan 25,"Rp1,472.58",6
5Y,24 Jan 25,"Rp1,472.58",11
5Y,24 Jan 25,"Rp1,472.58",16
5Y,24 Jan 25,"Rp1,472.58",21
5Y,24 Jan 25,"Rp1,472.58",26
5Y,24 Jan 25,"Rp1,472.58",31
5Y,24 Jan 25,"Rp1,472.58",36
5Y,24 Jan 25,"Rp1,472.58",41
5Y,24 Jan 25,"Rp1,472.58",46
5Y,24 Jan 25,"Rp1,472.58",51
5Y,24 Jan 25,"Rp1,472.58",56
5Y,24 Jan 25,"Rp1,472.58",61
5Y,24 Jan 25,"Rp1,472.58",66
5Y,24 Jan 25,"Rp1,472.58",71
5Y,24 Jan 25,"Rp1,472.58",76
5Y,24 Jan 25,"Rp1,472.58",81
5Y,24 Jan 25,"Rp1,472.58",86
5Y,24 Jan 25,"Rp1,472.58",91
5Y,24 Jan 25,"Rp1,472.58",96
