period,date,value,offset
3Y,22 Jan 25,"Rp1,472.02",-347
3Y,22 Jan 25,"Rp1,472.02",-342
3Y,22 Jan 25,"Rp1,472.02",-337
3Y,22 Jan 25,"Rp1,472.02",-332
3Y,21 Jan 22,"Rp1,290.58",-327
3Y,31 Jan 22,"Rp1,291.64",-322
3Y,7 Feb 22,"Rp1,292.40",-317
3Y,16 Feb 22,"Rp1,293.38",-312
3Y,24 Feb 22,"Rp1,294.25",-307
3Y,4 Mar 22,"Rp1,294.65",-302
3Y,14 Mar 22,"Rp1,295.62",-297
3Y,21 Mar 22,"Rp1,296.28",-292
3Y,30 Mar 22,"Rp1,296.29",-287
3Y,7 Apr 22,"Rp1,296.92",-282
3Y,18 Apr 22,"Rp1,297.81",-277
3Y,25 Apr 22,"Rp1,298.80",-272
3Y,9 Mei 22,"Rp1,300.02",-267
3Y,11 Mei 22,"Rp1,300.01",-262
3Y,19 Mei 22,"Rp1,300.60",-257
3Y,27 Mei 22,"Rp1,301.58",-252
3Y,6 Jun 22,"Rp1,302.64",-247
3Y,13 Jun 22,"Rp1,303.73",-242
3Y,21 Jun 22,"Rp1,304.87",-237
3Y,30 Jun 22,"Rp1,305.97",-232
3Y,8 Jul 22,"Rp1,306.71",-227
3Y,18 Jul 22,"Rp1,307.53",-222
3Y,25 Jul 22,"Rp1,308.55",-217
3Y,2 Agt 22,"Rp1,310.23",-212
3Y,11 Agt 22,"Rp1,311.54",-207
3Y,19 Agt 22,"Rp1,313.31",-202
3Y,29 Agt 22,"Rp1,312.55",-197
3Y,5 Sep 22,"Rp1,313.69",-192
3Y,13 Sep 22,"Rp1,314.78",-187
3Y,22 Sep 22,"Rp1,315.68",-182
3Y,30 Sep 22,"Rp1,316.65",-177
3Y,10 Okt 22,"Rp1,317.84",-172
3Y,17 Okt 22,"Rp1,318.59",-167
3Y,25 Okt 22,"Rp1,319.16",-162
3Y,3 Nov 22,"Rp1,320.08",-157
3Y,11 Nov 22,"Rp1,321.17",-152
3Y,21 Nov 22,"Rp1,322.69",-147
3Y,28 Nov 22,"Rp1,323.74",-142
3Y,6 Des 22,"Rp1,325.29",-137
3Y,15 Des 22,"Rp1,326.67",-132
3Y,23 Des 22,"Rp1,327.92",-127
3Y,2 Jan 23,"Rp1,329.37",-122
3Y,9 Jan 23,"Rp1,330.48",-117
3Y,17 Jan 23,"Rp1,331.75",-112
3Y,26 Jan 23,"Rp1,333.15",-107
3Y,3 Feb 23,"Rp1,333.82",-102
3Y,13 Feb 23,"Rp1,335.43",-97
3Y,20 Feb 23,"Rp1,336.55",-92
3Y,28 Feb 23,"Rp1,338.10",-87
3Y,8 Mar 23,"Rp1,339.48",-82
3Y,17 Mar 23,"Rp1,340.72",-77
3Y,27 Mar 23,"Rp1,342.52",-72
3Y,3 Apr 23,"Rp1,343.46",-67
3Y,11 Apr 23,"Rp1,344.71",-62
3Y,27 Apr 23,"Rp1,349.73",-57
3Y,28 Apr 23,"Rp1,349.89",-52
3Y,8 Mei 23,"Rp1,351.09",-47
3Y,15 Mei 23,"Rp1,352.33",-42
3Y,23 Mei 23,"Rp1,353.61",-37
3Y,31 Mei 23,"Rp1,354.42",-32
3Y,9 Jun 23,"Rp1,356.06",-27
3Y,19 Jun 23,"Rp1,357.88",-22
3Y,26 Jun 23,"Rp1,358.87",-17
3Y,4 Jul 23,"Rp1,360.31",-12
3Y,12 Jul 23,"Rp1,361.68",-7
3Y,21 Jul 23,"Rp1,363.28",-2
3Y,31 Jul 23,"Rp1,364.75",3
3Y,7 Agt 23,"Rp1,365.38",8
3Y,15 Agt 23,"Rp1,366.88",13
3Y,23 Agt 23,"Rp1,368.34",18
3Y,1 Sep 23,"Rp1,368.47",23
3Y,11 Sep 23,"Rp1,369.71",28
3Y,18 Sep 23,"Rp1,370.72",33
3Y,26 Sep 23,"Rp1,372.38",38
3Y,4 Okt 23,"Rp1,373.87",43
3Y,13 Okt 23,"Rp1,375.65",48
3Y,23 Okt 23,"Rp1,377.15",53
3Y,31 Okt 23,"Rp1,378.15",58
3Y,7 Nov 23,"Rp1,379.60",63
