period,date,value,offset
5Y,22 Jan 25,"Rp1,472.02",-509
5Y,22 Jan 25,"Rp1,472.02",-504
5Y,22 Jan 25,"Rp1,472.02",-499
5Y,22 Jan 25,"Rp1,472.02",-494
5Y,22 Jan 25,"Rp1,472.02",-489
5Y,22 Jan 25,"Rp1,472.02",-484
5Y,22 Jan 25,"Rp1,472.02",-479
5Y,22 Jan 25,"Rp1,472.02",-474
5Y,22 Jan 25,"Rp1,472.02",-469
5Y,22 Jan 25,"Rp1,472.02",-464
5Y,22 Jan 25,"Rp1,472.02",-459
5Y,22 Jan 25,"Rp1,472.02",-454
5Y,22 Jan 25,"Rp1,472.02",-449
5Y,22 Jan 25,"Rp1,472.02",-444
5Y,22 Jan 25,"Rp1,472.02",-439
5Y,22 Jan 25,"Rp1,472.02",-434
5Y,22 Jan 25,"Rp1,472.02",-429
5Y,22 Jan 25,"Rp1,472.02",-424
5Y,22 Jan 25,"Rp1,472.02",-419
5Y,22 Jan 25,"Rp1,472.02",-414
5Y,22 Jan 25,"Rp1,472.02",-409
5Y,22 Jan 25,"Rp1,472.02",-404
5Y,22 Jan 25,"Rp1,472.02",-399
5Y,22 Jan 25,"Rp1,472.02",-394
5Y,22 Jan 25,"Rp1,472.02",-389
5Y,22 Jan 25,"Rp1,472.02",-384
5Y,22 Jan 25,"Rp1,472.02",-379
5Y,22 Jan 25,"Rp1,472.02",-374
5Y,22 Jan 25,"Rp1,472.02",-369
5Y,22 Jan 25,"Rp1,472.02",-364
5Y,22 Jan 25,"Rp1,472.02",-359
5Y,22 Jan 25,"Rp1,472.02",-354
5Y,22 Jan 25,"Rp1,472.02",-349
5Y,22 Jan 25,"Rp1,472.02",-344
5Y,22 Jan 25,"Rp1,472.02",-339
5Y,22 Jan 25,"Rp1,472.02",-334
5Y,22 Jan 25,"Rp1,472.02",-329
5Y,22 Jan 25,"Rp1,472.02",-324
5Y,22 Jan 25,"Rp1,472.02",-319
5Y,22 Jan 25,"Rp1,472.02",-314
5Y,22 Jan 25,"Rp1,472.02",-309
5Y,22 Jan 25,"Rp1,472.02",-304
5Y,22 Jan 25,"Rp1,472.02",-299
5Y,22 Jan 25,"Rp1,472.02",-294
5Y,22 Jan 25,"Rp1,472.02",-289
5Y,22 Jan 25,"Rp1,472.02",-284
5Y,22 Jan 25,"Rp1,472.02",-279
5Y,22 Jan 25,"Rp1,472.02",-274
5Y,22 Jan 25,"Rp1,472.02",-269
5Y,22 Jan 25,"Rp1,472.02",-264
5Y,22 Jan 25,"Rp1,472.02",-259
5Y,22 Jan 25,"Rp1,472.02",-254
5Y,22 Jan 25,"Rp1,472.02",-249
5Y,22 Jan 25,"Rp1,472.02",-244
5Y,22 Jan 25,"Rp1,472.02",-239
5Y,22 Jan 25,"Rp1,472.02",-234
5Y,22 Jan 25,"Rp1,472.02",-229
5Y,22 Jan 25,"Rp1,472.02",-224
