period,date,value,offset
YTD,22 Jan 25,"Rp1,472.02",-347
YTD,22 Jan 25,"Rp1,472.02",-342
YTD,22 Jan 25,"Rp1,472.02",-337
YTD,22 Jan 25,"Rp1,472.02",-332
YTD,30 Des 24,"Rp1,466.14",-327
YTD,2 Jan 25,"Rp1,466.78",-322
YTD,2 Jan 25,"Rp1,466.78",-317
YTD,2 Jan 25,"Rp1,466.78",-312
YTD,2 Jan 25,"Rp1,466.78",-307
YTD,2 Jan 25,"Rp1,466.78",-302
YTD,2 Jan 25,"Rp1,466.78",-297
YTD,2 Jan 25,"Rp1,466.78",-292
YTD,2 Jan 25,"Rp1,466.78",-287
YTD,2 Jan 25,"Rp1,466.78",-282
YTD,2 Jan 25,"Rp1,466.78",-277
YTD,2 Jan 25,"Rp1,466.78",-272
YTD,2 Jan 25,"Rp1,466.78",-267
YTD,2 Jan 25,"Rp1,466.78",-262
YTD,2 Jan 25,"Rp1,466.78",-257
YTD,2 Jan 25,"Rp1,466.78",-252
YTD,2 Jan 25,"Rp1,466.78",-247
YTD,2 Jan 25,"Rp1,466.78",-242
YTD,3 Jan 25,"Rp1,467.08",-237
YTD,3 Jan 25,"Rp1,467.08",-232
YTD,3 Jan 25,"Rp1,467.08",-227
YTD,3 Jan 25,"Rp1,467.08",-222
YTD,3 Jan 25,"Rp1,467.08",-217
YTD,6 Jan 25,"Rp1,467.76",-212
YTD,6 Jan 25,"Rp1,467.76",-207
YTD,6 Jan 25,"Rp1,467.76",-202
YTD,6 Jan 25,"Rp1,467.76",-197
YTD,6 Jan 25,"Rp1,467.76",-192
YTD,6 Jan 25,"Rp1,467.76",-187
YTD,6 Jan 25,"Rp1,467.76",-182
YTD,6 Jan 25,"Rp1,467.76",-177
YTD,6 Jan 25,"Rp1,467.76",-172
YTD,6 Jan 25,"Rp1,467.76",-167
YTD,6 Jan 25,"Rp1,467.76",-162
YTD,6 Jan 25,"Rp1,467.76",-157
YTD,6 Jan 25,"Rp1,467.76",-152
YTD,6 Jan 25,"Rp1,467.76",-147
YTD,6 Jan 25,"Rp1,467.76",-142
YTD,6 Jan 25,"Rp1,467.76",-137
YTD,6 Jan 25,"Rp1,467.76",-132
YTD,7 Jan 25,"Rp1,468.03",-127
YTD,7 Jan 25,"Rp1,468.03",-122
YTD,7 Jan 25,"Rp1,468.03",-117
YTD,7 Jan 25,"Rp1,468.03",-112
YTD,7 Jan 25,"Rp1,468.03",-107
YTD,7 Jan 25,"Rp1,468.03",-102
YTD,8 Jan 25,"Rp1,468.34",-97
YTD,8 Jan 25,"Rp1,468.34",-92
YTD,8 Jan 25,"Rp1,468.34",-87
YTD,8 Jan 25,"Rp1,468.34",-82
YTD,8 Jan 25,"Rp1,468.34",-77
YTD,8 Jan 25,"Rp1,468.34",-72
YTD,10 Jan 25,"Rp1,468.66",-67
YTD,10 Jan 25,"Rp1,468.66",-62
YTD,10 Jan 25,"Rp1,468.66",-57
YTD,10 Jan 25,"Rp1,468.66",-52
YTD,10 Jan 25,"Rp1,468.66",-47
YTD,10 Jan 25,"Rp1,468.66",-42
YTD,10 Jan 25,"Rp1,468.66",-37
YTD,10 Jan 25,"Rp1,468.66",-32
YTD,10 Jan 25,"Rp1,468.66",-27
YTD,10 Jan 25,"Rp1,468.66",-22
YTD,10 Jan 25,"Rp1,468.66",-17
YTD,13 Jan 25,"Rp1,469.33",-12
YTD,13 Jan 25,"Rp1,469.33",-7
YTD,13 Jan 25,"Rp1,469.33",-2
YTD,13 Jan 25,"Rp1,469.33",3
YTD,13 Jan 25,"Rp1,469.33",8
YTD,13 Jan 25,"Rp1,469.33",13
YTD,13 Jan 25,"Rp1,469.33",18
YTD,13 Jan 25,"Rp1,469.33",23
YTD,13 Jan 25,"Rp1,469.33",28
YTD,13 Jan 25,"Rp1,469.33",33
YTD,13 Jan 25,"Rp1,469.33",38
YTD,13 Jan 25,"Rp1,469.33",43
YTD,13 Jan 25,"Rp1,469.33",48
YTD,13 Jan 25,"Rp1,469.33",53
YTD,13 Jan 25,"Rp1,469.33",58
YTD,13 Jan 25,"Rp1,469.33",63
YTD,13 Jan 25,"Rp1,469.33",68
YTD,14 Jan 25,"Rp1,469.57",73
YTD,14 Jan 25,"Rp1,469.57",78
YTD,14 Jan 25,"Rp1,469.57",83
YTD,14 Jan 25,"Rp1,469.57",88
YTD,14 Jan 25,"Rp1,469.57",93
YTD,14 Jan 25,"Rp1,469.57",98
YTD,15 Jan 25,"Rp1,469.80",103
YTD,15 Jan 25,"Rp1,469.80",108
YTD,15 Jan 25,"Rp1,469.80",113
YTD,15 Jan 25,"Rp1,469.80",118
YTD,15 Jan 25,"Rp1,469.80",123
YTD,16 Jan 25,"Rp1,470.11",128
YTD,16 Jan 25,"Rp1,470.11",133
YTD,16 Jan 25,"Rp1,470.11",138
YTD,16 Jan 25,"Rp1,470.11",143
YTD,16 Jan 25,"Rp1,470.11",148
YTD,16 Jan 25,"Rp1,470.11",153
YTD,17 Jan 25,"Rp1,470.49",158
YTD,17 Jan 25,"Rp1,470.49",163
YTD,17 Jan 25,"Rp1,470.49",168
YTD,17 Jan 25,"Rp1,470.49",173
YTD,17 Jan 25,"Rp1,470.49",178
YTD,17 Jan 25,"Rp1,470.49",183
YTD,20 Jan 25,"Rp1,471.31",188
YTD,20 Jan 25,"Rp1,471.31",193
YTD,20 Jan 25,"Rp1,471.31",198
YTD,20 Jan 25,"Rp1,471.31",203
YTD,20 Jan 25,"Rp1,471.31",208
YTD,20 Jan 25,"Rp1,471.31",213
YTD,20 Jan 25,"Rp1,471.31",218
YTD,20 Jan 25,"Rp1,471.31",223
YTD,20 Jan 25,"Rp1,471.31",228
YTD,20 Jan 25,"Rp1,471.31",233
YTD,20 Jan 25,"Rp1,471.31",238
YTD,20 Jan 25,"Rp1,471.31",243
YTD,20 Jan 25,"Rp1,471.31",248
YTD,20 Jan 25,"Rp1,471.31",253
YTD,20 Jan 25,"Rp1,471.31",258
YTD,20 Jan 25,"Rp1,471.31",263
YTD,20 Jan 25,"Rp1,471.31",268
YTD,21 Jan 25,"Rp1,471.65",273
YTD,21 Jan 25,"Rp1,471.65",278
YTD,21 Jan 25,"Rp1,471.65",283
YTD,21 Jan 25,"Rp1,471.65",288
YTD,21 Jan 25,"Rp1,471.65",293
YTD,21 Jan 25,"Rp1,471.65",298
YTD,22 Jan 25,"Rp1,472.02",303
YTD,22 Jan 25,"Rp1,472.02",308
YTD,22 Jan 25,"Rp1,472.02",313
YTD,22 Jan 25,"Rp1,472.02",318
YTD,22 Jan 25,"Rp1,472.02",323
YTD,22 Jan 25,"Rp1,472.02",328
YTD,22 Jan 25,"Rp1,472.02",333
YTD,22 Jan 25,"Rp1,472.02",338
YTD,22 Jan 25,"Rp1,472.02",343
