tanggal,NAV,AUM,currency
2019-01-01,NA,960000000000.0,IDR
2019-01-02,1001.01,NA,IDR
2019-01-04,1001.25,NA,IDR
2019-01-08,1001.87,NA,IDR
2019-01-14,1002.57,NA,IDR
2019-01-18,1003.19,NA,IDR
2019-01-22,1003.83,NA,IDR
2019-01-28,1004.7,NA,IDR
2019-01-31,1005.14,NA,IDR
2019-02-01,NA,990000000000.0,IDR
2019-02-06,1006.13,NA,IDR
2019-02-11,1006.78,NA,IDR
2019-02-14,1007.16,NA,IDR
2019-02-18,1007.69,NA,IDR
2019-02-25,1008.72,NA,IDR
2019-02-28,1009.13,NA,IDR
2019-03-01,NA,1120000000000.0,IDR
2019-03-04,1009.66,NA,IDR
2019-03-11,1010.7,NA,IDR
2019-03-13,1010.98,NA,IDR
2019-03-18,1011.69,NA,IDR
2019-03-22,1012.25,NA,IDR
2019-03-27,1012.89,NA,IDR
2019-04-01,1013.58,1280000000000.0,IDR
2019-04-05,1014.11,NA,IDR
2019-04-10,1014.8,NA,IDR
2019-04-15,1015.48,NA,IDR
2019-04-22,1016.42,NA,IDR
2019-04-23,1016.57,NA,IDR
2019-04-29,1017.35,NA,IDR
2019-05-01,NA,740000000000.0,IDR
2019-05-02,1017.72,NA,IDR
2019-05-07,1018.4,NA,IDR
2019-05-13,1019.21,NA,IDR
2019-05-16,1019.63,NA,IDR
2019-05-21,1020.27,NA,IDR
2019-05-27,1020.71,NA,IDR
2019-05-31,1021.32,NA,IDR
2019-06-01,NA,440750000000.0,IDR
2019-06-10,1022.74,NA,IDR
2019-06-13,1023.14,NA,IDR
2019-06-17,1023.56,NA,IDR
2019-06-24,1024.44,NA,IDR
2019-06-26,1024.69,NA,IDR
2019-07-01,1025.39,92990000000.0,IDR
2019-07-05,1026.06,NA,IDR
2019-07-10,1026.76,NA,IDR
2019-07-15,1027.54,NA,IDR
2019-07-19,1025.08,NA,IDR
2019-07-24,1025.86,NA,IDR
2019-07-29,1026.28,NA,IDR
2019-08-01,NA,1140000000000.0,IDR
2019-08-02,1026.34,NA,IDR
2019-08-06,1026.6,NA,IDR
2019-08-12,1027.31,NA,IDR
2019-08-15,1027.73,NA,IDR
2019-08-20,1028.18,NA,IDR
2019-08-26,1028.93,NA,IDR
2019-08-29,1029.48,NA,IDR
2019-09-01,NA,1270000000000.0,IDR
2019-09-03,1030.06,NA,IDR
2019-09-09,1030.87,NA,IDR
2019-09-12,1031.3,NA,IDR
2019-09-16,1031.84,NA,IDR
2019-09-23,1032.25,NA,IDR
2019-09-26,1032.7,NA,IDR
2019-09-30,1033.04,NA,IDR
2019-10-01,NA,1390000000000.0,IDR
2019-10-07,1033.88,NA,IDR
2019-10-09,1034.15,NA,IDR
2019-10-14,1034.76,NA,IDR
2019-10-18,1035.24,NA,IDR
2019-10-23,1035.86,NA,IDR
2019-10-28,1036.88,NA,IDR
2019-11-01,1037.3,1270000000000.0,IDR
2019-11-06,1037.75,NA,IDR
2019-11-11,1038.35,NA,IDR
2019-11-15,1038.85,NA,IDR
2019-11-19,1013.76,NA,IDR
2019-11-25,1036.39,NA,IDR
2019-11-28,1036.77,NA,IDR
2019-12-01,NA,1570000000000.0,IDR
2019-12-03,1037.32,NA,IDR
2019-12-09,1038.04,NA,IDR
2019-12-12,1038.41,NA,IDR
2019-12-17,1039.02,NA,IDR
2019-12-23,1039.76,NA,IDR
2019-12-26,1040.13,NA,IDR
2019-12-30,1040.59,NA,IDR
2020-01-01,NA,1790000000000.0,IDR
2020-01-06,1041.41,NA,IDR
2020-01-09,1041.76,NA,IDR
2020-01-13,1042.25,NA,IDR
2020-01-20,1043.1,NA,IDR
2020-01-22,1043.34,NA,IDR
2020-01-27,1043.91,NA,IDR
2020-01-31,1044.35,NA,IDR
2020-02-01,NA,1760000000000.0,IDR
2020-02-05,1044.76,NA,IDR
2020-02-07,1044.91,NA,IDR
2020-02-10,1045.26,NA,IDR
2020-02-14,1045.7,NA,IDR
2020-02-18,1046.16,NA,IDR
2020-02-19,1046.28,NA,IDR
2020-02-24,1046.85,NA,IDR
2020-02-25,1046.97,NA,IDR
2020-02-28,1047.28,NA,IDR
2020-03-01,NA,560000000000.0,IDR
2020-03-02,1047.6,NA,IDR
2020-03-03,1047.71,NA,IDR
2020-03-04,1047.82,NA,IDR
2020-03-09,1048.37,NA,IDR
2020-03-11,1048.61,NA,IDR
2020-03-12,1048.72,NA,IDR
2020-03-16,1049.16,NA,IDR
2020-03-17,1049.14,NA,IDR
2020-03-19,1049.05,NA,IDR
2020-03-23,1049.44,NA,IDR
2020-03-26,1049.78,NA,IDR
2020-03-30,1050.46,NA,IDR
2020-03-31,1050.57,NA,IDR
2020-04-01,NA,640000000000.0,IDR
2020-04-03,1050.88,NA,IDR
2020-04-06,1051.15,NA,IDR
2020-04-07,1051.28,NA,IDR
2020-04-09,1051.48,NA,IDR
2020-04-13,1051.88,NA,IDR
2020-04-14,1051.96,NA,IDR
2020-04-20,1052.55,NA,IDR
2020-04-22,1052.74,NA,IDR
2020-04-27,1053.23,NA,IDR
2020-04-29,1053.43,NA,IDR
2020-05-01,NA,338420000000.0,IDR
2020-05-04,1053.95,NA,IDR
2020-05-06,1054.16,NA,IDR
2020-05-11,1054.68,NA,IDR
2020-05-14,1054.99,NA,IDR
2020-05-15,1055.02,NA,IDR
2020-05-18,1055.11,NA,IDR
2020-05-20,1055.31,NA,IDR
2020-05-26,1055.92,NA,IDR
2020-05-29,1056.24,NA,IDR
2020-06-01,NA,335960000000.0,IDR
2020-06-02,1056.65,NA,IDR
2020-06-03,1056.76,NA,IDR
2020-06-05,1056.98,NA,IDR
2020-06-08,1057.21,NA,IDR
2020-06-09,1057.32,NA,IDR
2020-06-12,1057.58,NA,IDR
2020-06-15,1057.9,NA,IDR
2020-06-16,1058.01,NA,IDR
2020-06-17,1058.12,NA,IDR
2020-06-22,1058.65,NA,IDR
2020-06-24,1058.86,NA,IDR
2020-06-25,1058.97,NA,IDR
2020-06-29,1059.4,NA,IDR
2020-06-30,1059.49,NA,IDR
2020-07-01,NA,1430000000000.0,IDR
2020-07-02,1059.71,NA,IDR
2020-07-06,1060.13,NA,IDR
2020-07-09,1060.37,NA,IDR
2020-07-13,1060.69,NA,IDR
2020-07-14,1060.8,NA,IDR
2020-07-16,1061.0,NA,IDR
2020-07-20,1061.41,NA,IDR
2020-07-23,1061.73,NA,IDR
2020-07-24,1061.83,NA,IDR
2020-07-27,1062.14,NA,IDR
2020-07-28,1062.24,NA,IDR
2020-08-01,NA,1550000000000.0,IDR
2020-08-03,1062.81,NA,IDR
2020-08-04,1062.91,NA,IDR
2020-08-05,1063.01,NA,IDR
2020-08-10,1063.53,NA,IDR
2020-08-12,1063.73,NA,IDR
2020-08-18,1064.32,NA,IDR
2020-08-19,1064.42,NA,IDR
2020-08-24,1064.74,NA,IDR
2020-08-27,1065.03,NA,IDR
2020-08-28,1065.13,NA,IDR
2020-08-31,1065.34,NA,IDR
2020-09-01,NA,1710000000000.0,IDR
2020-09-02,1065.39,NA,IDR
2020-09-03,1065.48,NA,IDR
2020-09-07,1065.87,NA,IDR
2020-09-11,1066.26,NA,IDR
2020-09-14,1066.54,NA,IDR
2020-09-16,1066.74,NA,IDR
2020-09-18,1066.93,NA,IDR
2020-09-21,1067.21,NA,IDR
2020-09-22,1067.31,NA,IDR
2020-09-25,1067.6,NA,IDR
2020-09-29,1067.99,NA,IDR
2020-10-01,NA,1780000000000.0,IDR
2020-10-05,1068.51,NA,IDR
2020-10-07,1068.7,NA,IDR
2020-10-08,1068.79,NA,IDR
2020-10-12,1069.17,NA,IDR
2020-10-13,1069.26,NA,IDR
2020-10-14,1069.32,NA,IDR
2020-10-19,1069.77,NA,IDR
2020-10-22,1070.05,NA,IDR
2020-10-26,1070.36,NA,IDR
2020-10-27,1070.45,NA,IDR
2020-11-01,NA,1590000000000.0,IDR
2020-11-02,1071.02,NA,IDR
2020-11-05,1071.3,NA,IDR
2020-11-06,1071.38,NA,IDR
2020-11-09,1071.65,NA,IDR
2020-11-13,1071.99,NA,IDR
2020-11-16,1072.24,NA,IDR
2020-11-17,1072.32,NA,IDR
2020-11-18,1072.4,NA,IDR
2020-11-23,1072.82,NA,IDR
2020-11-24,1072.8,NA,IDR
2020-11-30,1073.28,NA,IDR
2020-12-01,NA,1960000000000.0,IDR
2020-12-02,1073.45,NA,IDR
2020-12-07,1073.86,NA,IDR
2020-12-10,1074.1,NA,IDR
2020-12-11,1074.18,NA,IDR
2020-12-14,1074.4,NA,IDR
2020-12-16,1074.55,NA,IDR
2020-12-17,1074.62,NA,IDR
2020-12-21,1074.92,NA,IDR
2020-12-28,1075.45,NA,IDR
2020-12-30,1075.59,NA,IDR
2021-01-01,NA,2020000000000.0,IDR
2021-01-04,1075.93,NA,IDR
2021-01-08,1076.23,NA,IDR
2021-01-12,1076.54,NA,IDR
2021-01-18,1076.95,NA,IDR
2021-01-19,1077.02,NA,IDR
2021-01-21,1077.16,NA,IDR
2021-01-25,1077.44,NA,IDR
2021-01-26,1077.51,NA,IDR
2021-01-27,1077.59,NA,IDR
2021-02-01,1077.9,2000000000000.0,IDR
2021-02-03,1078.03,NA,IDR
2021-02-04,1078.1,NA,IDR
2021-02-08,1078.34,NA,IDR
2021-02-09,1078.4,NA,IDR
2021-02-11,1078.52,NA,IDR
2021-02-15,1078.73,NA,IDR
2021-02-18,1078.89,NA,IDR
2021-02-22,1079.09,NA,IDR
2021-02-26,1079.29,NA,IDR
2021-03-01,1079.45,1950000000000.0,IDR
2021-03-03,1079.56,NA,IDR
2021-03-05,1079.68,NA,IDR
2021-03-08,1079.85,NA,IDR
2021-03-09,1079.9,NA,IDR
2021-03-15,1080.26,NA,IDR
2021-03-16,1080.32,NA,IDR
2021-03-17,1080.34,NA,IDR
2021-03-22,1080.62,NA,IDR
2021-03-24,1080.74,NA,IDR
2021-03-26,1080.85,NA,IDR
2021-03-29,1081.02,NA,IDR
2021-03-31,1081.11,NA,IDR
2021-04-01,NA,850000000000.0,IDR
2021-04-05,1081.34,NA,IDR
2021-04-08,1081.47,NA,IDR
2021-04-09,1081.52,NA,IDR
2021-04-12,1081.66,NA,IDR
2021-04-13,1081.71,NA,IDR
2021-04-15,1081.8,NA,IDR
2021-04-19,1081.99,NA,IDR
2021-04-23,1081.99,NA,IDR
2021-04-27,1082.18,NA,IDR
2021-04-30,1082.15,NA,IDR
2021-05-01,NA,1020000000000.0,IDR
2021-05-03,1082.28,NA,IDR
2021-05-04,1082.33,NA,IDR
2021-05-06,1082.42,NA,IDR
2021-05-10,1082.59,NA,IDR
2021-05-11,1082.63,NA,IDR
2021-05-17,1082.9,NA,IDR
2021-05-19,1082.99,NA,IDR
2021-05-20,1083.03,NA,IDR
2021-05-24,1082.9,NA,IDR
2021-05-25,1082.94,NA,IDR
2021-05-27,1083.02,NA,IDR
2021-05-31,1083.09,NA,IDR
2021-06-01,NA,1040000000000.0,IDR
2021-06-03,1083.18,NA,IDR
2021-06-07,1083.29,NA,IDR
2021-06-10,1083.37,NA,IDR
2021-06-14,1083.48,NA,IDR
2021-06-16,1083.41,NA,IDR
2021-06-18,1083.49,NA,IDR
2021-06-21,1083.59,NA,IDR
2021-06-22,1083.63,NA,IDR
2021-06-25,1083.74,NA,IDR
2021-06-28,1083.84,NA,IDR
2021-06-29,1083.93,NA,IDR
2021-06-30,1083.85,NA,IDR
2021-07-01,NA,1040000000000.0,IDR
2021-07-05,1084.09,NA,IDR
2021-07-07,1084.18,NA,IDR
2021-07-09,1084.21,NA,IDR
2021-07-12,1084.19,NA,IDR
2021-07-14,1084.34,NA,IDR
2021-07-19,1084.58,NA,IDR
2021-07-22,1084.79,NA,IDR
2021-07-23,1084.85,NA,IDR
2021-07-26,1085.11,NA,IDR
2021-07-27,1085.09,NA,IDR
2021-07-29,1085.17,NA,IDR
2021-08-01,NA,1550000000000.0,IDR
2021-08-02,1085.38,NA,IDR
2021-08-05,1085.51,NA,IDR
2021-08-06,1085.57,NA,IDR
2021-08-09,1085.7,NA,IDR
2021-08-10,1085.76,NA,IDR
2021-08-13,1085.82,NA,IDR
2021-08-16,1085.98,NA,IDR
2021-08-18,1086.06,NA,IDR
2021-08-19,1086.11,NA,IDR
2021-08-20,1086.11,NA,IDR
2021-08-24,1086.22,NA,IDR
2021-08-30,1086.49,NA,IDR
