tanggal,NAV,AUM
2000-01-17,1764.97,NA
2000-02-07,1581.29,NA
2000-02-23,1430.86,NA
2000-03-13,1441.56,NA
2000-04-03,1407.39,NA
2000-04-20,1306.67,NA
2000-05-08,1406.4,NA
2000-05-29,1203.5,NA
2000-06-16,1278.71,NA
2000-07-03,1312.18,NA
2000-07-24,1342.37,NA
2000-08-10,1301.62,NA
2000-08-29,1261.06,NA
2000-09-18,1112.09,NA
2000-10-05,1157.56,NA
2000-10-24,1163.59,NA
2000-11-13,1197.86,NA
2000-11-30,1225.04,NA
2000-12-19,1183.0,NA
2001-01-08,1157.65,NA
2001-01-26,1174.88,NA
2001-02-13,1232.12,NA
2001-03-06,1255.95,NA
2001-03-23,1090.15,NA
2001-04-11,1087.27,NA
2001-04-30,1069.98,NA
2001-05-18,1116.67,NA
2001-06-06,1161.57,NA
2001-06-25,1233.08,NA
2001-07-13,1268.56,NA
2001-08-01,1244.92,NA
2001-08-20,1226.34,NA
2001-09-10,1256.86,NA
2001-09-26,1142.3,NA
2001-10-16,1112.0,NA
2001-11-05,1105.71,NA
2001-11-23,1141.21,NA
2002-01-08,1171.28,NA
2002-01-17,1298.64,NA
2002-02-04,1369.28,NA
2002-04-24,1647.56,NA
2002-05-10,1650.21,NA
2002-06-03,1631.82,NA
2002-06-17,1684.09,NA
2002-07-04,1544.11,NA
2002-07-23,1515.09,NA
2002-08-12,1447.6,NA
2002-08-30,1435.25,NA
2002-09-17,1395.71,NA
2002-10-07,1325.25,NA
2002-10-25,1194.04,NA
2002-11-13,1239.15,NA
2002-12-02,1300.18,NA
2002-12-20,1410.99,NA
2003-01-08,1310.51,NA
2003-01-27,1346.97,NA
2003-02-14,1371.85,NA
2003-03-06,1348.87,NA
2003-03-24,1351.14,NA
2003-04-14,1475.23,NA
2003-04-30,1527.86,NA
2003-05-19,1552.83,NA
2003-06-09,1746.58,NA
2003-06-26,1706.02,NA
2003-07-14,1814.85,NA
2003-08-04,1677.92,NA
2003-08-21,1731.17,NA
2003-09-08,1901.57,NA
2003-09-29,1911.49,NA
2003-10-16,2093.3,NA
2003-11-04,2001.61,NA
2003-12-01,2058.39,NA
2003-12-11,2173.1,NA
2003-12-30,2311.05,NA
2004-01-19,2610.83,NA
2004-01-30,NA,5417.32
2004-02-05,2528.68,NA
2004-02-24,2693.01,NA
2004-02-27,NA,7023.49
2004-03-15,2529.89,NA
2004-03-31,NA,6428.04
2004-04-02,2551.68,NA
2004-04-20,2805.09,NA
2004-04-30,NA,8092.81
2004-05-10,2465.59,NA
2004-05-28,2565.69,NA
2004-05-31,NA,7116.62
2004-06-16,2486.64,NA
2004-06-30,NA,7624.96
2004-07-06,2726.88,NA
2004-07-23,2734.55,NA
2004-07-30,NA,8355.31
2004-08-11,2714.78,NA
2004-08-30,2702.52,NA
2004-08-31,NA,8096.07
2004-09-17,2955.61,NA
2004-09-30,NA,10660.0
2004-10-06,3101.61,NA
2004-10-25,3083.68,NA
2004-10-29,NA,14390.0
2004-11-22,3414.85,NA
2004-11-30,NA,38330.0
2004-12-01,3625.04,NA
2004-12-20,3636.02,NA
2004-12-30,NA,93710.0
2005-01-10,3845.07,NA
2005-01-26,3946.26,NA
2005-01-31,NA,157890.0
2005-02-14,4001.97,NA
2005-02-24,NA,273550.0
2005-03-07,4186.55,337340.0
2005-03-22,NA,474000.0
2005-03-24,4193.29,NA
2005-04-06,NA,510000.0
2005-04-11,4166.34,NA
2005-04-25,NA,466130.0
2005-05-02,3901.11,NA
2005-05-09,NA,471587.0
2005-05-19,4004.13,NA
2005-05-23,NA,462550.0
2005-06-07,4167.37,NA
2005-06-08,NA,463070.0
2005-06-23,NA,438570.0
2005-06-27,4310.49,NA
2005-07-11,NA,432030.0
2005-07-14,4415.97,NA
2005-07-25,NA,487090.0
2005-08-02,4645.94,NA
2005-08-09,NA,510000.0
2005-08-22,4237.95,NA
2005-08-25,NA,530000.0
2005-09-08,4262.17,NA
2005-09-12,NA,520000.0
2005-09-26,NA,479500.0
2005-09-27,4099.98,NA
2005-10-11,NA,462990.0
2005-10-17,4300.46,NA
2005-10-27,NA,440440.0
2005-11-09,4177.77,NA
2005-11-11,NA,438340.0
2005-11-22,4248.9,NA
2005-11-28,NA,452760.0
2005-12-12,4671.74,415970.0
2005-12-28,NA,327460.0
2006-01-02,4625.46,NA
2006-01-13,NA,260694.0
2006-01-18,4782.79,NA
2006-01-30,NA,182520.0
2006-02-06,5046.28,NA
2006-02-13,NA,180550.0
2006-02-24,4989.85,NA
2006-03-01,NA,180830.0
2006-03-15,5142.52,NA
2006-03-17,NA,168820.0
2006-04-03,5502.26,146180.0
2006-04-17,NA,151170.0
2006-04-21,6156.25,NA
2006-05-02,NA,185220.0
2006-05-10,6544.24,NA
2006-05-18,NA,239090.0
2006-05-29,5749.11,NA
2006-06-02,NA,316340.0
2006-06-19,5577.2,352190.0
2006-07-04,NA,420240.0
2006-07-05,5867.56,NA
2006-07-19,NA,437540.0
2006-07-24,5771.38,NA
2006-08-04,NA,478600.0
2006-08-14,6291.43,NA
2006-08-22,NA,500000.0
2006-08-30,6316.13,NA
2006-09-04,NA,540000.0
2006-09-18,6409.55,NA
2006-09-20,NA,600000.0
2006-10-06,NA,650000.0
2006-10-09,6702.79,NA
2006-10-30,6970.1,740000.0
2006-11-06,NA,810000.0
2006-11-13,7184.76,NA
2006-11-21,NA,950000.0
2006-12-04,7545.77,NA
2006-12-07,NA,1168719.0
2006-12-21,7782.32,NA
2006-12-26,NA,1400214.0
2007-01-08,NA,1575529.0
2007-01-09,7705.39,NA
2007-01-23,NA,1511661.0
2007-01-29,7576.2,NA
2007-02-08,NA,1427275.0
2007-02-15,7688.24,NA
2007-02-23,NA,1430956.0
2007-03-06,7385.82,NA
2007-03-12,NA,1414085.0
2007-03-26,7802.51,1386190.0
2007-04-11,NA,1316375.0
2007-04-12,8366.75,NA
2007-04-27,NA,1272992.0
2007-05-01,8654.6,NA
2007-05-14,NA,1250345.0
2007-05-21,9221.79,NA
2007-05-28,NA,1237535.0
2007-06-08,9162.86,NA
2007-06-13,NA,1232494.0
2007-06-26,9637.21,NA
2007-06-28,NA,1243602.0
2007-07-16,10440.0,1298586.0
2007-07-30,NA,1327779.0
2007-08-03,10500.0,NA
2007-08-14,NA,1397339.0
2007-08-23,9852.25,NA
2007-08-30,NA,1637413.0
2007-09-10,10270.0,NA
2007-09-14,NA,1712846.0
2007-09-28,10980.0,NA
2007-10-01,NA,1936949.0
2007-10-18,12300.0,2095918.0
2007-10-31,NA,2111877.0
2007-11-05,12560.0,NA
2007-11-16,NA,2081673.0
2007-11-23,12220.0,NA
2007-12-04,NA,2180625.0
2007-12-12,13290.0,NA
2007-12-17,NA,2067807.0
2008-01-02,12940.0,2136535.0
