Date,Open,High,Low,Close,Adj Close,Volume
2025-02-05,"7,073.20","7,079.46","7,017.84","7,026.69","7,026.69",
2025-02-03,"7,087.75","7,089.70","6,933.14","7,030.06","7,030.06","135,419,500"
2025-01-31,"7,113.58","7,174.75","7,095.68","7,109.20","7,109.20","125,561,900"
2025-01-30,"7,142.79","7,150.29","7,042.69","7,073.48","7,073.48","156,862,200"
2025-01-24,"7,255.02","7,261.45","7,166.06","7,166.06","7,166.06","122,224,300"
2025-01-23,"7,275.00","7,324.63","7,232.64","7,232.64","7,232.64","142,025,900"
2025-01-22,"7,227.02","7,267.49","7,223.26","7,257.13","7,257.13","146,457,400"
2025-01-21,"7,207.59","7,221.73","7,176.33","7,181.82","7,181.82","176,177,100"
2025-01-20,"7,188.40","7,201.61","7,165.44","7,170.74","7,170.74","183,080,100"
2025-01-17,"7,115.05","7,178.81","7,084.30","7,154.66","7,154.66","197,761,000"
2025-01-16,"7,165.18","7,190.61","7,071.91","7,107.52","7,107.52","144,790,100"
2025-01-15,"6,992.85","7,084.56","6,977.77","7,079.56","7,079.56","173,538,400"
2025-01-14,"7,014.80","7,042.33","6,956.67","6,956.67","6,956.67","151,037,100"
2025-01-13,"7,076.70","7,089.57","6,986.59","7,016.88","7,016.88","149,887,800"
2025-01-10,"7,076.90","7,121.63","7,074.14","7,088.87","7,088.87","166,170,500"
2025-01-09,"7,093.25","7,106.46","7,062.10","7,064.59","7,064.59","148,465,600"
2025-01-08,"7,099.66","7,129.29","7,046.17","7,080.35","7,080.35","147,124,800"
2025-01-07,"7,074.26","7,103.19","7,029.51","7,083.28","7,083.28","144,709,900"
2025-01-06,"7,176.12","7,182.02","7,073.95","7,080.47","7,080.47","192,190,300"
2025-01-03,"7,177.25","7,197.01","7,135.28","7,164.43","7,164.43","182,944,400"
2025-01-02,"7,092.43","7,163.21","7,088.32","7,163.21","7,163.21","161,752,600"
2024-12-30,"7,026.78","7,079.90","6,993.07","7,079.90","7,079.90","159,672,400"
2024-12-27,"7,073.38","7,100.27","7,024.71","7,036.57","7,036.57","144,277,600"
2024-12-24,"7,115.64","7,120.58","7,063.75","7,065.75","7,065.75","110,632,900"
2024-12-23,"7,037.53","7,096.44","7,035.73","7,096.44","7,096.44","138,664,700"
2024-12-20,"6,980.17","7,032.40","6,931.58","6,983.87","6,983.87","145,749,700"
2024-12-19,"7,034.62","7,040.55","6,951.05","6,977.24","6,977.24","170,862,900"
2024-12-18,"7,168.97","7,216.88","7,105.07","7,107.88","7,107.88","122,373,300"
2024-12-17,"7,238.17","7,263.31","7,132.06","7,157.73","7,157.73","157,427,600"
2024-12-16,"7,304.22","7,320.79","7,204.65","7,258.63","7,258.63","186,546,900"
2024-12-13,"7,379.75","7,399.90","7,324.79","7,324.79","7,324.79","120,050,700"
2024-12-12,"7,441.97","7,470.89","7,380.03","7,394.24","7,394.24","147,665,300"
2024-12-11,"7,444.86","7,530.56","7,444.17","7,464.75","7,464.75","235,486,300"
2024-12-10,"7,448.77","7,457.81","7,396.79","7,453.29","7,453.29","203,350,400"
2024-12-09,"7,382.61","7,440.98","7,380.66","7,437.73","7,437.73","230,130,900"
2024-12-06,"7,302.67","7,382.81","7,287.60","7,382.79","7,382.79","130,161,700"
2024-12-05,"7,326.02","7,338.60","7,283.50","7,313.31","7,313.31","131,417,800"
2024-12-04,"7,198.10","7,328.32","7,187.48","7,326.76","7,326.76","166,379,200"
2024-12-03,"7,104.93","7,196.02","7,102.22","7,196.02","7,196.02","176,316,700"
2024-12-02,"7,117.75","7,153.03","7,041.34","7,046.99","7,046.99","163,941,100"
2024-11-29,"7,168.00","7,189.13","7,107.28","7,114.27","7,114.27","218,431,100"
2024-11-28,"7,215.91","7,249.69","7,195.67","7,200.16","7,200.16","178,995,100"
2024-11-26,"7,329.53","7,341.60","7,245.89","7,245.89","7,245.89","164,096,700"
