[2025-02-14 21:14:44] [INFO] ===== Mulai scraping seluruh data =====
[2025-02-14 21:14:44] [INFO] Mulai scraping untuk Batavia Technology Sharia Equity USD (Total 1 periode)
[2025-02-14 21:14:44] [INFO] Memulai scraping 1M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-02-14 21:14:44] [INFO] Memulai scraping 1M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-02-14 21:14:52] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-14 21:14:52] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-14 21:14:52] [INFO] Berhasil memilih periode 1M.
[2025-02-14 21:14:52] [INFO] Beralih ke mode AUM...
[2025-02-14 21:15:03] [DEBUG] AUM | Periode 1M | Kursor -249 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:03] [DEBUG] Default | Periode 1M | Kursor -89 | Tanggal: 30 Jan 25 | Data: $1.17
[2025-02-14 21:15:03] [DEBUG] Default | Periode 1M | Kursor -69 | Tanggal: 30 Jan 25 | Data: $1.17
[2025-02-14 21:15:03] [DEBUG] AUM | Periode 1M | Kursor -229 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:04] [DEBUG] Default | Periode 1M | Kursor -49 | Tanggal: 30 Jan 25 | Data: $1.17
[2025-02-14 21:15:04] [DEBUG] AUM | Periode 1M | Kursor -209 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:04] [DEBUG] Default | Periode 1M | Kursor -29 | Tanggal: 30 Jan 25 | Data: $1.17
[2025-02-14 21:15:04] [DEBUG] AUM | Periode 1M | Kursor -189 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:05] [DEBUG] Default | Periode 1M | Kursor -9 | Tanggal: 30 Jan 25 | Data: $1.17
[2025-02-14 21:15:05] [DEBUG] AUM | Periode 1M | Kursor -169 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:05] [DEBUG] AUM | Periode 1M | Kursor -149 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:05] [DEBUG] Default | Periode 1M | Kursor 11 | Tanggal: 30 Jan 25 | Data: $1.17
[2025-02-14 21:15:06] [DEBUG] Default | Periode 1M | Kursor 31 | Tanggal: 30 Jan 25 | Data: $1.17
[2025-02-14 21:15:06] [DEBUG] AUM | Periode 1M | Kursor -129 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:06] [DEBUG] AUM | Periode 1M | Kursor -109 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:06] [DEBUG] Default | Periode 1M | Kursor 51 | Tanggal: 31 Jan 25 | Data: $1.18
[2025-02-14 21:15:06] [DEBUG] AUM | Periode 1M | Kursor -89 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:06] [DEBUG] Default | Periode 1M | Kursor 71 | Tanggal: 31 Jan 25 | Data: $1.18
[2025-02-14 21:15:07] [DEBUG] AUM | Periode 1M | Kursor -69 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:07] [DEBUG] Default | Periode 1M | Kursor 91 | Tanggal: 3 Feb 25 | Data: $1.17
[2025-02-14 21:15:07] [DEBUG] AUM | Periode 1M | Kursor -49 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:07] [DEBUG] Default | Periode 1M | Kursor 111 | Tanggal: 3 Feb 25 | Data: $1.17
[2025-02-14 21:15:08] [DEBUG] Default | Periode 1M | Kursor 131 | Tanggal: 3 Feb 25 | Data: $1.17
[2025-02-14 21:15:08] [DEBUG] AUM | Periode 1M | Kursor -29 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:08] [DEBUG] AUM | Periode 1M | Kursor -9 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:08] [DEBUG] Default | Periode 1M | Kursor 151 | Tanggal: 3 Feb 25 | Data: $1.17
[2025-02-14 21:15:09] [DEBUG] AUM | Periode 1M | Kursor 11 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:09] [DEBUG] Default | Periode 1M | Kursor 171 | Tanggal: 3 Feb 25 | Data: $1.17
[2025-02-14 21:15:09] [DEBUG] AUM | Periode 1M | Kursor 31 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 21:15:09] [DEBUG] Default | Periode 1M | Kursor 191 | Tanggal: 4 Feb 25 | Data: $1.18
[2025-02-14 21:15:09] [DEBUG] Default | Periode 1M | Kursor 211 | Tanggal: 5 Feb 25 | Data: $1.19
