[2025-04-09 20:02:09] [INFO] ===== Mulai scraping seluruh data =====
[2025-04-09 20:02:09] [INFO] Mulai scraping untuk ABF Indonesia Bond Index Fund (Total 2 periode)
[2025-04-09 20:02:09] [INFO] Memulai scraping 1M (Default) untuk https://bibit.id/reksadana/RD13...
[2025-04-09 20:02:09] [INFO] Memulai scraping 1M (AUM) untuk https://bibit.id/reksadana/RD13...
[2025-04-09 20:02:09] [INFO] Memulai scraping 3M (Default) untuk https://bibit.id/reksadana/RD13...
[2025-04-09 20:02:13] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD13
[2025-04-09 20:02:13] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD13
[2025-04-09 20:02:13] [INFO] Beralih ke mode AUM...
[2025-04-09 20:02:13] [INFO] Berhasil memilih periode 1M.
[2025-04-09 20:02:13] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD13
[2025-04-09 20:02:13] [INFO] Berhasil memilih periode 3M.
[2025-04-09 20:02:21] [DEBUG] Default | Periode 1M | Kursor -190 | Tanggal: 17 Mar 25 | Data: Rp54.96K
[2025-04-09 20:02:21] [DEBUG] AUM | Periode 1M | Kursor -350 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:22] [DEBUG] Default | Periode 3M | Kursor -190 | Tanggal: 5 Feb 25 | Data: Rp54.50K
[2025-04-09 20:02:22] [DEBUG] Default | Periode 1M | Kursor -170 | Tanggal: 18 Mar 25 | Data: Rp54,901.00
[2025-04-09 20:02:22] [DEBUG] AUM | Periode 1M | Kursor -330 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:22] [DEBUG] Default | Periode 3M | Kursor -170 | Tanggal: 7 Feb 25 | Data: Rp54,699.00
[2025-04-09 20:02:22] [DEBUG] Default | Periode 1M | Kursor -150 | Tanggal: 19 Mar 25 | Data: Rp54.84K
[2025-04-09 20:02:22] [DEBUG] AUM | Periode 1M | Kursor -310 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:22] [DEBUG] Default | Periode 3M | Kursor -150 | Tanggal: 10 Feb 25 | Data: Rp54.78K
[2025-04-09 20:02:23] [DEBUG] Default | Periode 1M | Kursor -130 | Tanggal: 19 Mar 25 | Data: Rp54.84K
[2025-04-09 20:02:23] [DEBUG] AUM | Periode 1M | Kursor -290 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:23] [DEBUG] Default | Periode 3M | Kursor -130 | Tanggal: 11 Feb 25 | Data: Rp54.80K
[2025-04-09 20:02:23] [DEBUG] Default | Periode 1M | Kursor -110 | Tanggal: 20 Mar 25 | Data: Rp54.77K
[2025-04-09 20:02:23] [DEBUG] AUM | Periode 1M | Kursor -270 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:23] [DEBUG] Default | Periode 3M | Kursor -110 | Tanggal: 12 Feb 25 | Data: Rp54.81K
[2025-04-09 20:02:23] [DEBUG] Default | Periode 1M | Kursor -90 | Tanggal: 21 Mar 25 | Data: Rp54.65K
[2025-04-09 20:02:23] [DEBUG] AUM | Periode 1M | Kursor -250 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:24] [DEBUG] Default | Periode 3M | Kursor -90 | Tanggal: 14 Feb 25 | Data: Rp54,960.60
[2025-04-09 20:02:24] [DEBUG] Default | Periode 1M | Kursor -70 | Tanggal: 21 Mar 25 | Data: Rp54.65K
[2025-04-09 20:02:24] [DEBUG] AUM | Periode 1M | Kursor -230 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:24] [DEBUG] Default | Periode 3M | Kursor -70 | Tanggal: 17 Feb 25 | Data: Rp55,035.60
[2025-04-09 20:02:24] [DEBUG] AUM | Periode 1M | Kursor -210 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:24] [DEBUG] Default | Periode 1M | Kursor -50 | Tanggal: 24 Mar 25 | Data: Rp54.47K
[2025-04-09 20:02:24] [DEBUG] Default | Periode 3M | Kursor -50 | Tanggal: 18 Feb 25 | Data: Rp55.08K
[2025-04-09 20:02:24] [DEBUG] AUM | Periode 1M | Kursor -190 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:24] [DEBUG] Default | Periode 1M | Kursor -30 | Tanggal: 24 Mar 25 | Data: Rp54.47K
[2025-04-09 20:02:25] [DEBUG] Default | Periode 3M | Kursor -30 | Tanggal: 20 Feb 25 | Data: Rp55.09K
[2025-04-09 20:02:25] [DEBUG] Default | Periode 1M | Kursor -10 | Tanggal: 24 Mar 25 | Data: Rp54.47K
[2025-04-09 20:02:25] [DEBUG] AUM | Periode 1M | Kursor -170 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:25] [DEBUG] Default | Periode 3M | Kursor -10 | Tanggal: 24 Feb 25 | Data: Rp55.16K
[2025-04-09 20:02:25] [DEBUG] AUM | Periode 1M | Kursor -150 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:25] [DEBUG] Default | Periode 1M | Kursor 10 | Tanggal: 24 Mar 25 | Data: Rp54.47K
[2025-04-09 20:02:25] [DEBUG] Default | Periode 3M | Kursor 10 | Tanggal: 24 Feb 25 | Data: Rp55.16K
[2025-04-09 20:02:26] [DEBUG] AUM | Periode 1M | Kursor -130 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:26] [DEBUG] Default | Periode 1M | Kursor 30 | Tanggal: 24 Mar 25 | Data: Rp54.47K
[2025-04-09 20:02:26] [DEBUG] Default | Periode 3M | Kursor 30 | Tanggal: 25 Feb 25 | Data: Rp55.10K
[2025-04-09 20:02:26] [DEBUG] Default | Periode 1M | Kursor 50 | Tanggal: 25 Mar 25 | Data: Rp54.37K
[2025-04-09 20:02:26] [DEBUG] AUM | Periode 1M | Kursor -110 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:26] [DEBUG] Default | Periode 3M | Kursor 50 | Tanggal: 27 Feb 25 | Data: Rp54.93K
[2025-04-09 20:02:26] [DEBUG] Default | Periode 1M | Kursor 70 | Tanggal: 26 Mar 25 | Data: Rp54.45K
[2025-04-09 20:02:26] [DEBUG] AUM | Periode 1M | Kursor -90 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:27] [DEBUG] Default | Periode 3M | Kursor 70 | Tanggal: 3 Mar 25 | Data: Rp54.92K
[2025-04-09 20:02:27] [DEBUG] Default | Periode 1M | Kursor 90 | Tanggal: 26 Mar 25 | Data: Rp54.45K
[2025-04-09 20:02:27] [DEBUG] AUM | Periode 1M | Kursor -70 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:27] [DEBUG] Default | Periode 3M | Kursor 90 | Tanggal: 3 Mar 25 | Data: Rp54.92K
[2025-04-09 20:02:27] [DEBUG] Default | Periode 1M | Kursor 110 | Tanggal: 27 Mar 25 | Data: Rp54.67K
[2025-04-09 20:02:27] [DEBUG] AUM | Periode 1M | Kursor -50 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:27] [DEBUG] Default | Periode 3M | Kursor 110 | Tanggal: 5 Mar 25 | Data: Rp55.03K
[2025-04-09 20:02:28] [DEBUG] Default | Periode 1M | Kursor 130 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:28] [DEBUG] AUM | Periode 1M | Kursor -30 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:28] [DEBUG] Default | Periode 3M | Kursor 130 | Tanggal: 6 Mar 25 | Data: Rp55.04K
[2025-04-09 20:02:28] [DEBUG] Default | Periode 1M | Kursor 150 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:28] [DEBUG] AUM | Periode 1M | Kursor -10 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:28] [DEBUG] Default | Periode 3M | Kursor 150 | Tanggal: 10 Mar 25 | Data: Rp55.04K
[2025-04-09 20:02:28] [DEBUG] AUM | Periode 1M | Kursor 10 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:28] [DEBUG] Default | Periode 1M | Kursor 170 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:29] [DEBUG] Default | Periode 3M | Kursor 170 | Tanggal: 10 Mar 25 | Data: Rp55.04K
[2025-04-09 20:02:29] [DEBUG] Default | Periode 1M | Kursor 190 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:29] [DEBUG] AUM | Periode 1M | Kursor 30 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:29] [DEBUG] Default | Periode 3M | Kursor 190 | Tanggal: 12 Mar 25 | Data: Rp54.97K
[2025-04-09 20:02:29] [DEBUG] AUM | Periode 1M | Kursor 50 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:29] [DEBUG] Default | Periode 1M | Kursor 210 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:29] [DEBUG] Default | Periode 3M | Kursor 210 | Tanggal: 14 Mar 25 | Data: Rp54.94K
[2025-04-09 20:02:30] [DEBUG] AUM | Periode 1M | Kursor 70 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:30] [DEBUG] Default | Periode 1M | Kursor 230 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:30] [DEBUG] Default | Periode 3M | Kursor 230 | Tanggal: 17 Mar 25 | Data: Rp54.96K
[2025-04-09 20:02:30] [DEBUG] Default | Periode 1M | Kursor 250 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:30] [DEBUG] AUM | Periode 1M | Kursor 90 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:30] [DEBUG] Default | Periode 3M | Kursor 250 | Tanggal: 17 Mar 25 | Data: Rp54.96K
[2025-04-09 20:02:30] [DEBUG] Default | Periode 1M | Kursor 270 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:30] [DEBUG] AUM | Periode 1M | Kursor 110 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:31] [DEBUG] Default | Periode 3M | Kursor 270 | Tanggal: 19 Mar 25 | Data: Rp54.84K
[2025-04-09 20:02:31] [DEBUG] Default | Periode 1M | Kursor 290 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:31] [DEBUG] AUM | Periode 1M | Kursor 130 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:31] [DEBUG] Default | Periode 3M | Kursor 290 | Tanggal: 21 Mar 25 | Data: Rp54.65K
[2025-04-09 20:02:31] [DEBUG] Default | Periode 1M | Kursor 310 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:31] [DEBUG] AUM | Periode 1M | Kursor 150 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:31] [DEBUG] Default | Periode 3M | Kursor 310 | Tanggal: 24 Mar 25 | Data: Rp54.47K
[2025-04-09 20:02:31] [DEBUG] Default | Periode 1M | Kursor 330 | Tanggal: 8 Apr 25 | Data: Rp54.63K
[2025-04-09 20:02:32] [DEBUG] AUM | Periode 1M | Kursor 170 | Tanggal: 1 Mar 25 | Data: Rp6.58T
[2025-04-09 20:02:32] [DEBUG] Default | Periode 3M | Kursor 330 | Tanggal: 25 Mar 25 | Data: Rp54.37K
[2025-04-09 20:02:32] [DEBUG] Default | Periode 1M | Kursor 350 | Tanggal: 8 Apr 25 | Data: Rp54.63K
