[2025-04-09 19:58:48] [INFO] ===== Mulai scraping seluruh data =====
[2025-04-09 19:58:48] [INFO] Mulai scraping untuk Batavia Technology Sharia Equity USD (Total 1 periode)
[2025-04-09 19:58:48] [INFO] Memulai scraping 1M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-04-09 19:58:48] [INFO] Memulai scraping 1M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-04-09 19:58:50] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-09 19:58:50] [INFO] Beralih ke mode AUM...
[2025-04-09 19:58:51] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-09 19:58:51] [INFO] Berhasil memilih periode 1M.
[2025-04-09 19:59:03] [DEBUG] Default | Periode 1M | Kursor -10 | Tanggal: 24 Mar 25 | Data: $1.07
[2025-04-09 19:59:03] [DEBUG] AUM | Periode 1M | Kursor -150 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:03] [DEBUG] AUM | Periode 1M | Kursor -130 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:03] [DEBUG] Default | Periode 1M | Kursor 10 | Tanggal: 24 Mar 25 | Data: $1.07
[2025-04-09 19:59:04] [DEBUG] AUM | Periode 1M | Kursor -110 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:04] [DEBUG] Default | Periode 1M | Kursor 30 | Tanggal: 24 Mar 25 | Data: $1.07
[2025-04-09 19:59:04] [DEBUG] AUM | Periode 1M | Kursor -90 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:04] [DEBUG] Default | Periode 1M | Kursor 50 | Tanggal: 25 Mar 25 | Data: $1.07
[2025-04-09 19:59:04] [DEBUG] AUM | Periode 1M | Kursor -70 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:04] [DEBUG] Default | Periode 1M | Kursor 70 | Tanggal: 26 Mar 25 | Data: $1.04
[2025-04-09 19:59:05] [DEBUG] AUM | Periode 1M | Kursor -50 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:05] [DEBUG] Default | Periode 1M | Kursor 90 | Tanggal: 26 Mar 25 | Data: $1.04
[2025-04-09 19:59:05] [DEBUG] Default | Periode 1M | Kursor 110 | Tanggal: 27 Mar 25 | Data: $1.02
[2025-04-09 19:59:05] [DEBUG] AUM | Periode 1M | Kursor -30 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:06] [DEBUG] Default | Periode 1M | Kursor 130 | Tanggal: 8 Apr 25 | Data: $0.87
[2025-04-09 19:59:06] [DEBUG] AUM | Periode 1M | Kursor -10 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:06] [DEBUG] Default | Periode 1M | Kursor 150 | Tanggal: 8 Apr 25 | Data: $0.87
[2025-04-09 19:59:06] [DEBUG] AUM | Periode 1M | Kursor 10 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:06] [DEBUG] AUM | Periode 1M | Kursor 30 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:06] [DEBUG] Default | Periode 1M | Kursor 170 | Tanggal: 8 Apr 25 | Data: $0.87
[2025-04-09 19:59:07] [DEBUG] AUM | Periode 1M | Kursor 50 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:07] [DEBUG] Default | Periode 1M | Kursor 190 | Tanggal: 8 Apr 25 | Data: $0.87
[2025-04-09 19:59:07] [DEBUG] Default | Periode 1M | Kursor 210 | Tanggal: 8 Apr 25 | Data: $0.87
[2025-04-09 19:59:07] [DEBUG] AUM | Periode 1M | Kursor 70 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:08] [DEBUG] Default | Periode 1M | Kursor 230 | Tanggal: 8 Apr 25 | Data: $0.87
[2025-04-09 19:59:08] [DEBUG] AUM | Periode 1M | Kursor 90 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:08] [DEBUG] AUM | Periode 1M | Kursor 110 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:08] [DEBUG] Default | Periode 1M | Kursor 250 | Tanggal: 8 Apr 25 | Data: $0.87
[2025-04-09 19:59:08] [DEBUG] AUM | Periode 1M | Kursor 130 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:08] [DEBUG] Default | Periode 1M | Kursor 270 | Tanggal: 8 Apr 25 | Data: $0.87
[2025-04-09 19:59:09] [DEBUG] AUM | Periode 1M | Kursor 150 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:09] [DEBUG] Default | Periode 1M | Kursor 290 | Tanggal: 8 Apr 25 | Data: $0.87
[2025-04-09 19:59:09] [DEBUG] Default | Periode 1M | Kursor 310 | Tanggal: 8 Apr 25 | Data: $0.87
[2025-04-09 19:59:09] [DEBUG] AUM | Periode 1M | Kursor 170 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:10] [DEBUG] Default | Periode 1M | Kursor 330 | Tanggal: 8 Apr 25 | Data: $0.87
[2025-04-09 19:59:10] [DEBUG] AUM | Periode 1M | Kursor 190 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:10] [DEBUG] Default | Periode 1M | Kursor 350 | Tanggal: 8 Apr 25 | Data: $0.87
[2025-04-09 19:59:10] [DEBUG] AUM | Periode 1M | Kursor 210 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:10] [DEBUG] Default | Periode 1M | Kursor 370 | Tanggal: 8 Apr 25 | Data: $0.87
[2025-04-09 19:59:10] [DEBUG] AUM | Periode 1M | Kursor 230 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:11] [DEBUG] AUM | Periode 1M | Kursor 250 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:11] [DEBUG] Default | Periode 1M | Kursor 390 | Tanggal: 8 Apr 25 | Data: $0.87
[2025-04-09 19:59:11] [DEBUG] Default | Periode 1M | Kursor 410 | Tanggal: 8 Apr 25 | Data: $0.87
[2025-04-09 19:59:11] [DEBUG] AUM | Periode 1M | Kursor 270 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:11] [DEBUG] Default | Periode 1M | Kursor 430 | Tanggal: 8 Apr 25 | Data: $0.87
[2025-04-09 19:59:11] [DEBUG] AUM | Periode 1M | Kursor 290 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:12] [DEBUG] AUM | Periode 1M | Kursor 310 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:12] [DEBUG] Default | Periode 1M | Kursor 450 | Tanggal: 8 Apr 25 | Data: $0.87
[2025-04-09 19:59:12] [DEBUG] AUM | Periode 1M | Kursor 330 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:12] [DEBUG] Default | Periode 1M | Kursor 470 | Tanggal: 8 Apr 25 | Data: $0.87
[2025-04-09 19:59:13] [DEBUG] AUM | Periode 1M | Kursor 350 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:13] [DEBUG] Default | Periode 1M | Kursor 490 | Tanggal: 8 Apr 25 | Data: $0.87
[2025-04-09 19:59:13] [INFO] Scraping 1M (Default) selesai, total data: 51
[2025-04-09 19:59:13] [DEBUG] AUM | Periode 1M | Kursor 370 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:13] [DEBUG] AUM | Periode 1M | Kursor 390 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:14] [DEBUG] AUM | Periode 1M | Kursor 410 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:14] [DEBUG] AUM | Periode 1M | Kursor 430 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:15] [DEBUG] AUM | Periode 1M | Kursor 450 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:15] [INFO] Scraping 1M (Default) selesai dalam 27.20 detik.
[2025-04-09 19:59:15] [INFO] Scraping Batavia Technology Sharia Equity USD untuk 1M (Default) selesai.
[2025-04-09 19:59:15] [DEBUG] AUM | Periode 1M | Kursor 470 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:15] [DEBUG] AUM | Periode 1M | Kursor 490 | Tanggal: 1 Mar 25 | Data: $135.58M
[2025-04-09 19:59:15] [INFO] Scraping 1M (AUM) selesai, total data: 51
[2025-04-09 19:59:17] [INFO] Scraping 1M (AUM) selesai dalam 29.92 detik.
[2025-04-09 19:59:17] [INFO] Scraping Batavia Technology Sharia Equity USD untuk 1M (AUM) selesai.
[2025-04-09 19:59:17] [INFO] Data Batavia Technology Sharia Equity USD berhasil diperbarui dan disimpan ke database/mutual_fund\Batavia Technology Sharia Equity USD.csv dan database/mutual_fund\Batavia Technology Sharia Equity USD.json
[2025-04-09 19:59:17] [INFO] Scraping Batavia Technology Sharia Equity USD selesai dalam 29.93 detik.
[2025-04-09 19:59:17] [INFO] ===== Semua scraping selesai dalam 29.93 detik =====
