[2025-04-08 21:14:03] [INFO] ===== Mulai scraping seluruh data =====
[2025-04-08 21:14:03] [INFO] Mulai scraping untuk Batavia Technology Sharia Equity USD (Total 2 periode)
[2025-04-08 21:14:03] [INFO] Memulai scraping 1M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-04-08 21:14:03] [INFO] Memulai scraping 1M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-04-08 21:14:03] [INFO] Memulai scraping 3M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-04-08 21:14:06] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-08 21:14:06] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-08 21:14:08] [INFO] Berhasil memilih periode 1M.
[2025-04-08 21:14:08] [INFO] Berhasil memilih periode 3M.
[2025-04-08 21:14:08] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-08 21:14:08] [INFO] Beralih ke mode AUM...
[2025-04-08 21:14:17] [DEBUG] AUM | Periode 1M | Kursor -350 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:18] [DEBUG] Default | Periode 1M | Kursor -170 | Tanggal: 10 Mar 25 | Data: $1.00
[2025-04-08 21:14:18] [DEBUG] Default | Periode 3M | Kursor -170 | Tanggal: 30 Jan 25 | Data: $1.17
[2025-04-08 21:14:18] [DEBUG] AUM | Periode 1M | Kursor -330 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:18] [DEBUG] Default | Periode 1M | Kursor -150 | Tanggal: 10 Mar 25 | Data: $1.00
[2025-04-08 21:14:18] [DEBUG] Default | Periode 3M | Kursor -150 | Tanggal: 30 Jan 25 | Data: $1.17
[2025-04-08 21:14:18] [DEBUG] AUM | Periode 1M | Kursor -310 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:18] [DEBUG] Default | Periode 1M | Kursor -130 | Tanggal: 10 Mar 25 | Data: $1.00
[2025-04-08 21:14:18] [DEBUG] Default | Periode 3M | Kursor -130 | Tanggal: 30 Jan 25 | Data: $1.17
[2025-04-08 21:14:19] [DEBUG] AUM | Periode 1M | Kursor -290 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:19] [DEBUG] Default | Periode 1M | Kursor -110 | Tanggal: 10 Mar 25 | Data: $1.00
[2025-04-08 21:14:19] [DEBUG] Default | Periode 3M | Kursor -110 | Tanggal: 31 Jan 25 | Data: $1.18
[2025-04-08 21:14:19] [DEBUG] AUM | Periode 1M | Kursor -270 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:19] [DEBUG] Default | Periode 3M | Kursor -90 | Tanggal: 3 Feb 25 | Data: $1.17
[2025-04-08 21:14:19] [DEBUG] Default | Periode 1M | Kursor -90 | Tanggal: 11 Mar 25 | Data: $1.01
[2025-04-08 21:14:19] [DEBUG] AUM | Periode 1M | Kursor -250 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:20] [DEBUG] Default | Periode 3M | Kursor -70 | Tanggal: 4 Feb 25 | Data: $1.18
[2025-04-08 21:14:20] [DEBUG] Default | Periode 1M | Kursor -70 | Tanggal: 11 Mar 25 | Data: $1.01
[2025-04-08 21:14:20] [DEBUG] AUM | Periode 1M | Kursor -230 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:20] [DEBUG] Default | Periode 1M | Kursor -50 | Tanggal: 12 Mar 25 | Data: $1.03
[2025-04-08 21:14:20] [DEBUG] Default | Periode 3M | Kursor -50 | Tanggal: 6 Feb 25 | Data: $1.19
[2025-04-08 21:14:20] [DEBUG] AUM | Periode 1M | Kursor -210 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:20] [DEBUG] Default | Periode 1M | Kursor -30 | Tanggal: 13 Mar 25 | Data: $1.00
[2025-04-08 21:14:20] [DEBUG] Default | Periode 3M | Kursor -30 | Tanggal: 10 Feb 25 | Data: $1.20
[2025-04-08 21:14:21] [DEBUG] AUM | Periode 1M | Kursor -190 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:21] [DEBUG] Default | Periode 3M | Kursor -10 | Tanggal: 10 Feb 25 | Data: $1.20
[2025-04-08 21:14:21] [DEBUG] Default | Periode 1M | Kursor -10 | Tanggal: 13 Mar 25 | Data: $1.00
[2025-04-08 21:14:21] [DEBUG] AUM | Periode 1M | Kursor -170 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:21] [DEBUG] Default | Periode 1M | Kursor 10 | Tanggal: 14 Mar 25 | Data: $1.04
[2025-04-08 21:14:21] [DEBUG] Default | Periode 3M | Kursor 10 | Tanggal: 11 Feb 25 | Data: $1.19
[2025-04-08 21:14:21] [DEBUG] AUM | Periode 1M | Kursor -150 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:22] [DEBUG] Default | Periode 1M | Kursor 30 | Tanggal: 14 Mar 25 | Data: $1.04
[2025-04-08 21:14:22] [DEBUG] Default | Periode 3M | Kursor 30 | Tanggal: 13 Feb 25 | Data: $1.20
[2025-04-08 21:14:22] [DEBUG] AUM | Periode 1M | Kursor -130 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:22] [DEBUG] Default | Periode 3M | Kursor 50 | Tanggal: 17 Feb 25 | Data: $1.19
[2025-04-08 21:14:22] [DEBUG] Default | Periode 1M | Kursor 50 | Tanggal: 17 Mar 25 | Data: $1.05
[2025-04-08 21:14:22] [DEBUG] AUM | Periode 1M | Kursor -110 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:22] [DEBUG] Default | Periode 1M | Kursor 70 | Tanggal: 17 Mar 25 | Data: $1.05
[2025-04-08 21:14:22] [DEBUG] Default | Periode 3M | Kursor 70 | Tanggal: 17 Feb 25 | Data: $1.19
[2025-04-08 21:14:23] [DEBUG] AUM | Periode 1M | Kursor -90 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:23] [DEBUG] Default | Periode 3M | Kursor 90 | Tanggal: 19 Feb 25 | Data: $1.19
[2025-04-08 21:14:23] [DEBUG] Default | Periode 1M | Kursor 90 | Tanggal: 17 Mar 25 | Data: $1.05
[2025-04-08 21:14:23] [DEBUG] AUM | Periode 1M | Kursor -70 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:14:23] [DEBUG] Default | Periode 3M | Kursor 110 | Tanggal: 21 Feb 25 | Data: $1.15
[2025-04-08 21:14:23] [DEBUG] Default | Periode 1M | Kursor 110 | Tanggal: 17 Mar 25 | Data: $1.05
