[2025-04-08 21:18:47] [INFO] ===== Mulai scraping seluruh data =====
[2025-04-08 21:18:47] [INFO] Mulai scraping untuk Batavia Technology Sharia Equity USD (Total 1 periode)
[2025-04-08 21:18:47] [INFO] Memulai scraping 1M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-04-08 21:18:47] [INFO] Memulai scraping 1M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-04-08 21:18:50] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-08 21:18:50] [INFO] Beralih ke mode AUM...
[2025-04-08 21:18:50] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-04-08 21:18:51] [INFO] Berhasil memilih periode 1M.
[2025-04-08 21:18:57] [DEBUG] AUM | Periode 1M | Kursor -470 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:18:57] [DEBUG] Default | Periode 1M | Kursor -330 | Tanggal: 4 Mar 25 | Data: $1.07
[2025-04-08 21:18:57] [DEBUG] AUM | Periode 1M | Kursor -450 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:18:57] [DEBUG] Default | Periode 1M | Kursor -310 | Tanggal: 5 Mar 25 | Data: $1.09
[2025-04-08 21:18:57] [DEBUG] AUM | Periode 1M | Kursor -430 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:18:58] [DEBUG] Default | Periode 1M | Kursor -290 | Tanggal: 5 Mar 25 | Data: $1.09
[2025-04-08 21:18:58] [DEBUG] AUM | Periode 1M | Kursor -410 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:18:58] [DEBUG] Default | Periode 1M | Kursor -270 | Tanggal: 6 Mar 25 | Data: $1.04
[2025-04-08 21:18:58] [DEBUG] AUM | Periode 1M | Kursor -390 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:18:58] [DEBUG] Default | Periode 1M | Kursor -250 | Tanggal: 6 Mar 25 | Data: $1.04
[2025-04-08 21:18:59] [DEBUG] AUM | Periode 1M | Kursor -370 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:18:59] [DEBUG] Default | Periode 1M | Kursor -230 | Tanggal: 7 Mar 25 | Data: $1.05
[2025-04-08 21:18:59] [DEBUG] AUM | Periode 1M | Kursor -350 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:18:59] [DEBUG] Default | Periode 1M | Kursor -210 | Tanggal: 7 Mar 25 | Data: $1.05
[2025-04-08 21:18:59] [DEBUG] AUM | Periode 1M | Kursor -330 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:00] [DEBUG] Default | Periode 1M | Kursor -190 | Tanggal: 10 Mar 25 | Data: $1.00
[2025-04-08 21:19:00] [DEBUG] AUM | Periode 1M | Kursor -310 | Tanggal: 1 Feb 25 | Data: $142.06M
[2025-04-08 21:19:00] [DEBUG] Default | Periode 1M | Kursor -170 | Tanggal: 10 Mar 25 | Data: $1.00
[2025-04-08 21:19:00] [DEBUG] AUM | Periode 1M | Kursor -290 | Tanggal: 1 Feb 25 | Data: $142.06M
