Date,Open,High,Low,Close,Adj Close,Volume
"2019-11-07,""6,234.60"",""6,235.64"",""6,119.42"",""6,165.62"",""6,165.62"",""67,284,200"""
"2019-11-08,""6,165.77"",""6,180.20"",""6,139.82"",""6,177.99"",""6,177.99"",""60,698,400"""
"2019-11-11,""6,171.44"",""6,182.82"",""6,127.88"",""6,148.74"",""6,148.74"",""47,286,600"""
"2019-11-12,""6,135.49"",""6,180.99"",""6,133.53"",""6,180.99"",""6,180.99"",""57,719,100"""
"2019-11-13,""6,177.66"",""6,183.83"",""6,132.25"",""6,142.50"",""6,142.50"",""51,900,400"""
"2019-11-14,""6,137.54"",""6,146.40"",""6,062.98"",""6,098.95"",""6,098.95"",""72,169,800"""
"2019-11-15,""6,115.76"",""6,137.36"",""6,092.62"",""6,128.35"",""6,128.35"",""46,157,800"""
"2019-11-18,""6,126.41"",""6,134.31"",""6,098.08"",""6,122.63"",""6,122.63"",""47,079,600"""
"2019-11-19,""6,136.94"",""6,152.09"",""6,113.33"",""6,152.09"",""6,152.09"",""51,414,200"""
"2019-11-20,""6,136.25"",""6,167.41"",""6,123.58"",""6,155.11"",""6,155.11"",""51,663,000"""
"2019-11-21,""6,135.76"",""6,137.27"",""6,099.57"",""6,117.36"",""6,117.36"",""50,800,300"""
"2019-11-22,""6,115.79"",""6,122.48"",""6,086.83"",""6,100.24"",""6,100.24"",""51,362,000"""
"2019-11-25,""6,094.75"",""6,105.10"",""6,052.27"",""6,070.76"",""6,070.76"",""48,496,000"""
"2019-11-26,""6,091.24"",""6,096.66"",""6,026.19"",""6,026.19"",""6,026.19"",""81,161,800"""
"2019-11-27,""6,025.94"",""6,052.49"",""6,002.99"",""6,023.04"",""6,023.04"",""57,364,300"""
"2019-11-28,""6,013.27"",""6,036.83"",""5,945.75"",""5,953.06"",""5,953.06"",""51,713,900"""
"2019-11-29,""5,949.88"",""6,015.70"",""5,939.40"",""6,011.83"",""6,011.83"",""51,024,700"""
"2019-12-02,""6,023.61"",""6,130.06"",""6,023.01"",""6,130.06"",""6,130.06"",""52,565,500"""
