[2025-02-14 16:03:15] [INFO] ===== Mulai scraping seluruh data =====
[2025-02-14 16:03:15] [INFO] Mulai scraping untuk Batavia Technology Sharia Equity USD (Total 1 periode)
[2025-02-14 16:03:15] [INFO] Memulai scraping 1M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-02-14 16:03:15] [INFO] Memulai scraping 1M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-02-14 16:03:21] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-14 16:03:21] [INFO] Berhasil memilih periode 1M.
[2025-02-14 16:03:22] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-14 16:03:22] [INFO] Beralih ke mode AUM...
[2025-02-14 16:03:44] [DEBUG] AUM | Periode 1M | Kursor 385 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 16:03:44] [DEBUG] AUM | Periode 1M | Kursor 405 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 16:03:45] [DEBUG] AUM | Periode 1M | Kursor 425 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 16:03:45] [DEBUG] AUM | Periode 1M | Kursor 445 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 16:03:45] [INFO] Scraping 1M (AUM) selesai, total data: 46
[2025-02-14 16:03:47] [INFO] Scraping 1M (AUM) selesai dalam 31.83 detik.
[2025-02-14 16:03:47] [INFO] Scraping Batavia Technology Sharia Equity USD untuk 1M (AUM) selesai.
[2025-02-14 16:03:47] [INFO] Data Batavia Technology Sharia Equity USD berhasil diperbarui dan disimpan ke database\Batavia Technology Sharia Equity USD.csv dan database\Batavia Technology Sharia Equity USD.json
[2025-02-14 16:03:47] [INFO] Scraping Batavia Technology Sharia Equity USD selesai dalam 31.85 detik.
[2025-02-14 16:03:47] [INFO] ===== Semua scraping selesai dalam 31.85 detik =====
