[2025-02-14 11:14:27] [INFO] ===== Mulai scraping seluruh data =====
[2025-02-14 11:14:27] [INFO] Mulai scraping untuk Batavia Technology Sharia Equity USD (Total 1 periode)
[2025-02-14 11:14:27] [INFO] Memulai scraping 1M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-02-14 11:14:27] [INFO] Memulai scraping 1M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-02-14 11:14:32] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-14 11:14:32] [INFO] Berhasil memilih periode 1M.
[2025-02-14 11:14:32] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-14 11:14:32] [INFO] [INFO] Beralih ke mode AUM...
[2025-02-14 11:14:43] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor -175 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:43] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 5 | Tanggal: 30 Jan 25 | Data: $1.17
[2025-02-14 11:14:44] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor -155 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:44] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 25 | Tanggal: 30 Jan 25 | Data: $1.17
[2025-02-14 11:14:44] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor -135 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:44] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 45 | Tanggal: 30 Jan 25 | Data: $1.17
[2025-02-14 11:14:44] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor -115 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:44] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 65 | Tanggal: 30 Jan 25 | Data: $1.17
[2025-02-14 11:14:45] [DEBUG] [DEBUG] Mode AUM | Periode 1M | Kursor -95 | Tanggal: 1 Jan 25 | Data: $83.52M
[2025-02-14 11:14:45] [DEBUG] [DEBUG] Mode Default | Periode 1M | Kursor 85 | Tanggal: 30 Jan 25 | Data: $1.17
