[2025-02-05 16:56:08] [INFO] ===== Mulai scraping seluruh data =====
[2025-02-05 16:56:08] [INFO] Mulai scraping untuk Batavia Technology Sharia Equity USD (Total 2 periode)
[2025-02-05 16:56:08] [INFO] Memulai scraping 3M (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-02-05 16:56:08] [INFO] Memulai scraping 3M (AUM) untuk https://bibit.id/reksadana/RD4183...
[2025-02-05 16:56:08] [INFO] Memulai scraping 1Y (Default) untuk https://bibit.id/reksadana/RD4183...
[2025-02-05 16:56:11] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-05 16:56:11] [INFO] [INFO] Beralih ke mode AUM...
[2025-02-05 16:56:11] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-05 16:56:11] [INFO] Berhasil membuka URL https://bibit.id/reksadana/RD4183
[2025-02-05 16:56:11] [INFO] Berhasil memilih periode 3M.
[2025-02-05 16:56:11] [INFO] Berhasil memilih periode 1Y.
[2025-02-05 16:56:19] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor -175 | Tanggal: 2 Des 24 | Data: $1.18
[2025-02-05 16:56:19] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor -315 | Tanggal: 1 Okt 24 | Data: $76.09M
[2025-02-05 16:56:20] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor -155 | Tanggal: 4 Des 24 | Data: $1.22
[2025-02-05 16:56:20] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor -155 | Tanggal: 31 Mei 24 | Data: $1.09
[2025-02-05 16:56:20] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor -295 | Tanggal: 1 Okt 24 | Data: $76.09M
[2025-02-05 16:56:20] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor -135 | Tanggal: 10 Jun 24 | Data: $1.12
[2025-02-05 16:56:20] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor -135 | Tanggal: 6 Des 24 | Data: $1.21
[2025-02-05 16:56:20] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor -275 | Tanggal: 1 Okt 24 | Data: $76.09M
[2025-02-05 16:56:20] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor -115 | Tanggal: 19 Jun 24 | Data: $1.16
[2025-02-05 16:56:20] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor -115 | Tanggal: 9 Des 24 | Data: $1.20
[2025-02-05 16:56:21] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor -255 | Tanggal: 1 Okt 24 | Data: $76.09M
[2025-02-05 16:56:21] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor -95 | Tanggal: 10 Des 24 | Data: $1.18
[2025-02-05 16:56:21] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor -95 | Tanggal: 25 Jun 24 | Data: $1.14
[2025-02-05 16:56:21] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor -235 | Tanggal: 1 Okt 24 | Data: $76.09M
[2025-02-05 16:56:21] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor -75 | Tanggal: 4 Jul 24 | Data: $1.17
[2025-02-05 16:56:21] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor -75 | Tanggal: 13 Des 24 | Data: $1.20
[2025-02-05 16:56:21] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor -215 | Tanggal: 1 Okt 24 | Data: $76.09M
[2025-02-05 16:56:22] [DEBUG] [DEBUG] Mode Default | Periode 1Y | Kursor -55 | Tanggal: 12 Jul 24 | Data: $1.17
[2025-02-05 16:56:22] [DEBUG] [DEBUG] Mode Default | Periode 3M | Kursor -55 | Tanggal: 16 Des 24 | Data: $1.22
[2025-02-05 16:56:22] [DEBUG] [DEBUG] Mode AUM | Periode 3M | Kursor -195 | Tanggal: 1 Okt 24 | Data: $76.09M
